field_1,id,analitico_,analitic_1,analitic_2,analitic_3,analitic_4,analitic_5,analitic_6,analitic_7,analitic_8,analitic_9,analitic10,analitic11,analitic12,analitic13,analitic14,analitic15,analitic16,analitic17,analitic18,analitic19,analitic20,analitic21,analitic22,analitic23,analitic24,analitic25,analitic26,analitic27,analitic28,analitic29,analitic30,analitic31,analitic32,barnices,co3,color_hume,color_seco,concrecion,consistenc,consiste_1,consiste_2,consiste_3,estructura,estructu_1,estructu_2,formacione,humedad,id.1,limite_tip,limite_for,moteados,perfil_num,perfil_pro,perfil_cob,perfil_mat,perfil_mod,perfil_fec,perfil_veg,perfil_obs,perfil_cap,perfil_ubi,perfil_u_1,perfil_u_2,perfil_u_3,perfil_pai,perfil_p_1,perfil_p_2,perfil_hum,perfil_ero,perfil_e_1,perfil_ped,perfil_p_3,perfil_ser,perfil_s_1,perfil_s_2,perfil_gru,perfil_g_1,perfil_fas,perfil_f_1,perfil_sal,perfil_uso,perfil_rel,perfil_per,perfil_esc,perfil_pen,perfil_ane,perfil_dre,perfil_pos,ph,profundida,profundi_1,raices,textura,tipo
633,496,3336,28.3,16.1,20.4,5.3,5.6,5.1,3778,12.2,2.3,1.6,0.1,22.9,2.1,0.186,16,58.2,17.5,1.4,0,0,0,0,NA,NA,NA,6.8,79,NA,NA,0 - 16,NA,11,,,10YR 3/2,10YR 5/2,,,friable,no ahesivo,no plástico,bloques angulares,medios,moderado,lombrices abundantes,,1060,abrupto,suave,,9/640 C,NA,70,,false,1967-02-15,Alfalfa - Gramillón - Quinoa,"El A es un horizonte ágrico.
El B1 no tiene datos analíticos porque se extravió la muestra.
A 220 cm. no hay reacción al calcáreo.
El perfil está ""endurecido"" por la sequedad y un mal laboreo.",,1 Km. al E.N.E. de La Angelita,R 364,3560-2-3,57,Pampa ondulada,,,no uniforme,ligera,hídrica,,grado 0,Delgado,De,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,lento,0 - 1%,clase 5,,loma,6,16,0,3,NA,Ap
634,497,709,27.9,21.8,23.7,7.3,8.3,6.2,1098,14.3,4.4,2.1,1,12.9,0.09,0.019,24.7,67.1,17.2,2.8,0,0,0,0.03,NA,NA,NA,2.5,92,NA,NA,195 - 250,NA,5,,,7.5YR 5/4,,,,,,,,,,,,1074,,,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,250,195,,NA,C
635,497,704,NA,19.4,22.9,6,6.9,5.5,1123,13.7,4,1,0.7,33.7,1.04,0.094,33.7,57,3.5,3.3,2.2,0.3,0,NA,NA,NA,NA,4.9,85,NA,NA,28 - 42,NA,11,,,10YR 3/1.5,,,,muy friable,,,granular,muy finos,débil,,,1069,claro,suave,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,42,28,1,NA,A13
636,497,707,NA,25.1,27.5,6.7,7.8,5.9,1101,17,5.7,1.6,0.8,30.6,0.28,0.042,30.6,54.8,8.9,2.8,0.9,1.2,0.8,NA,NA,NA,NA,3.8,91,NA,NA,88 - 150,NA,7,Clsk ++,,7.5YR 3/2,,,,firme,,ligeramente plástico,prismas,,,,,1072,gradual,,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,150,88,,NA,B2
637,497,708,NA,NA,24.8,7.7,8.5,6.6,1098,NA,NA,1.8,0.9,NA,0.16,0.034,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,150 - 195,NA,5,,+,7.5YR 5/3,,,,firme,,,,,,,,1073,gradual,,"Fe Mn ++ finos, precisos",11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,195,150,,NA,Bx
638,497,703,NA,21.6,23.8,5.9,6.8,5.5,1113,16.2,3.6,0.9,0.9,32.4,1.23,0.122,33.5,61.7,3.4,1.6,0.7,0.2,0,NA,NA,NA,NA,6,91,NA,NA,19 - 28,NA,10,,,10YR 3/4,,,,muy friable,,,granular,muy finos,débil,,,1068,claro,suave,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,28,19,2,NA,A12
639,497,705,NA,19.7,22.4,6.1,7.1,5.6,1121,14.3,3.6,1.2,0.6,36.5,0.7,0.07,36.5,55.8,3.9,2.2,1.2,0.4,0,NA,NA,NA,NA,4.6,88,NA,NA,42 - 62,NA,10,,,10YR 3/2,10YR 3/1(subordinado,,,muy friable,,,granular,finos,débil,,,1070,,suave,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,62,42,,NA,A3
640,497,702,NA,25,28.6,5.5,6.4,5.4,1101,19.6,3.3,1.6,0.5,27.5,2.1,0.208,31,65.6,3.4,2.4,1.1,0,0,NA,NA,NA,NA,8.8,87,NA,NA,0 - 19,NA,10,,,10YR 2/1,,,,muy friable,,,granular,muy finos,débil,,,1067,claro,suave,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,NA,0,4,NA,A11
641,497,706,NA,20.3,21.7,6.5,7.4,6,1087,15,3.5,1.3,0.5,29.1,0.65,0.068,29.1,55.9,5.7,2.6,2.7,3.2,0.8,NA,NA,NA,NA,4.4,93,NA,NA,62 - 88,NA,9,,,10YR 3/2,,,,friable,,ligeramente plástico,bloques subangulares,medios,débil,,,1071,gradual,,,11/329 C,NA,NA,,false,1965-11-18,Alfalfa 10% floración. Trébol blanco - Cebadilla criolla - Sorghum halifense,Bx: fragipán.,,"Ea. Santa Juana de Bustillo e hijos. 1,150 km. W.N.W. de Estación Arroyo Dulce.",RH 369,3560-3-1,24,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Arroyo Dulce,AD,NA,NA,,NA,engrosada,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,NA,88,62,,NA,B1
642,498,1913,19.8,16.2,17.4,5.7,6.3,5.1,4213,10,4,2.1,0.1,12.5,0.13,0.035,15.5,59.3,25.9,2.3,0,0,0,0,NA,NA,NA,3.1,93,NA,NA,124 +,NA,4,,,7.5YR 5/4,7.5YR 6/4,,,,,,grano suelto,,,,,1081,,,,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,NA,NA,124,,NA,C
643,498,1909,28.4,18.6,22.8,5.3,5.6,5,3858,13.5,2.5,2.5,0.1,25.4,1.97,0.188,22.2,54.6,18.5,1.3,0.2,0,0,0,NA,NA,NA,8.4,82,NA,NA,12 - 27,NA,10,,,10YR 2/1,,,,friable,,,bloques subangulares,medios,moderado,lombrices ++,,1076,claro,suave,,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6,27,12,3,NA,A12
644,498,1911,30.6,21.9,24.4,5.6,5.9,5,3016,13.8,6,2,0.1,33.1,0.53,0.078,18.9,46,20.1,0.7,0.1,0,0,0,NA,NA,NA,7.2,90,NA,NA,38 - 84,NA,7,Clsk+++ (7.5YR 4/2),,7.5YR 4/2,,,,firme,,,prismas,medios,débil,,,1078,abrupto,suave,,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6.5,84,38,1,NA,B2
645,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,7.5YR 5/4,,,,,,,bloques subangulares,medios,débil,,,1080,,,,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6.5,124,105,,NA,B32 *
646,498,1912,24.6,18.7,20,5.5,6.1,4.9,3592,11.6,4.7,2,0.4,18.3,0.23,0.045,20.5,51.1,29.5,1.1,0,0,0,0,NA,NA,NA,5.2,93,NA,NA,84 - 124,NA,5,Clsk,,7.5YR 4/4,,,,firme,,,bloques subangulares,medios,débil,,,1079,claro,suave,Fe Mn +,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6.5,105,84,vestigios,NA,B31 *
647,498,1908,28.4,22.9,27.2,5.5,5.7,5.2,2128,17,2.8,3,0.1,26.3,2.51,0.251,21.6,54.4,18.1,1,0.2,0,0,0,NA,NA,NA,9,84,NA,NA,0 - 12,NA,10,,,10YR 3/1,,,,friable,,,granular,medios,,lombrices ++,,1075,abrupto,suave,,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,5.5,12,0,3,NA,Ap
648,498,1910,25,16.2,19.8,5.4,5.7,5.2,3814,10.7,3.1,2.3,0.1,28,1.15,0.132,18.6,49.8,21.6,0.4,0.2,0,0,0,NA,NA,NA,6.3,82,NA,NA,27 - 38,NA,9,,,10YR 3/3,,,,friable,,,bloques subangulares,medios,moderado,lombrices +,,1077,claro,suave,,11/643 C,NA,NA,,false,1966-08-19,Campo arado (Rastrojo de maíz),"* Se muestrearon el B31 y B32 juntos.
El B2 rompe a bloques finos.
El Ing. Talledo realizó trabajos con el permeámetro en el horizonte B2 (prof. 38 - 84)",,"11 km. de Estación Guido Spano, al S.S.O. en línea recta.",R 362,3560-2-4,70,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem - Argiudol tipico,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6,38,27,2,NA,B1
649,499,1914,28.8,18.4,21.9,5,5.4,4.8,1615,12.7,3.1,2.3,0.3,25.8,1.98,0.224,24.3,55.8,17.9,0.5,0,0,0,0,NA,NA,NA,4.2,84,NA,NA,0 - 25,NA,9,,,10YR 3/1,,,,friable,ligeramente adhesivo,ligeramente plástico,granular,finos,débil,lombrices muy abundantesn,,1082,abrupto,suave,,11/644 C,NA,NA,,false,1966-08-19,Campo arado,"(*) Con tendencia a 10YR 3/3.
Estructura del B2: rompe a bloques angulares finos, medios.
El Ing. Talledo realizó pruebas de permeabilidad del B2 (36-74 cm.)
* En los datos analíticos el Ap y A1 están juntos.",,"Ea. La Delia, de Enrique Morea e hijos. 6 km. de Est. Guido Spano, al N.N.E. del mosaico.",R 367,3560-2-4,101,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6,18,0,3,NA,Ap *
650,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,10YR 2/1,,,,friable,ligeramente adhesivo,ligeramente plástico,granular,finos,débil,lombrices abundantes,,1083,claro,suave,,11/644 C,NA,NA,,false,1966-08-19,Campo arado,"(*) Con tendencia a 10YR 3/3.
Estructura del B2: rompe a bloques angulares finos, medios.
El Ing. Talledo realizó pruebas de permeabilidad del B2 (36-74 cm.)
* En los datos analíticos el Ap y A1 están juntos.",,"Ea. La Delia, de Enrique Morea e hijos. 6 km. de Est. Guido Spano, al N.N.E. del mosaico.",R 367,3560-2-4,101,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6,25,18,1,NA,A1 *
651,499,1915,28.9,16.8,20.5,505,6.1,4.9,3184,12,2.9,1.5,0.4,31,0.98,0.11,19,51.8,17,0.2,0,0,0,0,NA,NA,NA,3.2,82,NA,NA,25 - 36,NA,9,,,10YR 3/2 (*),,,,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,lombrices escasas,,1084,claro,suave,,11/644 C,NA,NA,,false,1966-08-19,Campo arado,"(*) Con tendencia a 10YR 3/3.
Estructura del B2: rompe a bloques angulares finos, medios.
El Ing. Talledo realizó pruebas de permeabilidad del B2 (36-74 cm.)
* En los datos analíticos el Ap y A1 están juntos.",,"Ea. La Delia, de Enrique Morea e hijos. 6 km. de Est. Guido Spano, al N.N.E. del mosaico.",R 367,3560-2-4,101,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,6.5,36,25,1,NA,B1
652,499,1917,26.9,20.1,20.8,5.7,6.8,4.8,3564,13.6,4.7,1.4,0.4,15.5,0.23,0.041,26,61,22.7,0.8,0,0,0,0,NA,NA,NA,2.1,97,NA,NA,74 - 110,NA,6,Clsk+,,7.5YR 5/4,,,,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,fuerte,,,1086,claro,suave,,11/644 C,NA,NA,,false,1966-08-19,Campo arado,"(*) Con tendencia a 10YR 3/3.
Estructura del B2: rompe a bloques angulares finos, medios.
El Ing. Talledo realizó pruebas de permeabilidad del B2 (36-74 cm.)
* En los datos analíticos el Ap y A1 están juntos.",,"Ea. La Delia, de Enrique Morea e hijos. 6 km. de Est. Guido Spano, al N.N.E. del mosaico.",R 367,3560-2-4,101,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,NA,110,74,,NA,B3
653,499,1916,35.4,24.4,26.7,5.7,6.5,4.9,2756,17.7,4.7,1.6,0.4,40.5,0.66,0.088,16,44.5,14.6,0.4,0,0,0,0,NA,NA,NA,3.2,91,NA,NA,36 - 74,NA,7,Clsk+++ (7.5YR 3/2),,7.5YR 4/2,,,,friable,adhesivo,plástico,prismas,medios,moderado,"lombrices muy escasas; chorreaduras de mat. orgánica",,1085,claro,suave,,11/644 C,NA,NA,,false,1966-08-19,Campo arado,"(*) Con tendencia a 10YR 3/3.
Estructura del B2: rompe a bloques angulares finos, medios.
El Ing. Talledo realizó pruebas de permeabilidad del B2 (36-74 cm.)
* En los datos analíticos el Ap y A1 están juntos.",,"Ea. La Delia, de Enrique Morea e hijos. 6 km. de Est. Guido Spano, al N.N.E. del mosaico.",R 367,3560-2-4,101,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,NA,74,36,vestigios,NA,B2
654,499,1918,23.2,18,19.5,6,7,5,4087,12,3.8,1.8,0.4,11.8,0.12,0.025,24.7,58.1,28.1,2,0,0,0,0,NA,NA,NA,2.6,92,NA,NA,110 +,NA,5,,,7.5YR 5/4,,,,friable,,,grano suelto,,,,,1087,,,,11/644 C,NA,NA,,false,1966-08-19,Campo arado,"(*) Con tendencia a 10YR 3/3.
Estructura del B2: rompe a bloques angulares finos, medios.
El Ing. Talledo realizó pruebas de permeabilidad del B2 (36-74 cm.)
* En los datos analíticos el Ap y A1 están juntos.",,"Ea. La Delia, de Enrique Morea e hijos. 6 km. de Est. Guido Spano, al N.N.E. del mosaico.",R 367,3560-2-4,101,Pampa ondulada,,,uniforme,nula,,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,loma,NA,NA,110,,NA,C
655,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,7.5YR 5/2,,,,friable,,,bloques subangulares,medios,moderado,,,1092,claro,suave,,11/645 C,NA,40,,false,1966-08-19,Pradera,Hasta los 2.10 m. no hay CaCO3.,,"1 km.en línea recta de Estación Guido Spano, al Norte.",R 364,3560-2-4,109,Pampa ondulada,,,uniforme,ligera,hídrica,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,ligeramente erosionada,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,media loma baja,NA,108,83,,NA,B3
656,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,7.5YR 5/4,,,,friable,,,grano suelto,,,,,1093,,,,11/645 C,NA,40,,false,1966-08-19,Pradera,Hasta los 2.10 m. no hay CaCO3.,,"1 km.en línea recta de Estación Guido Spano, al Norte.",R 364,3560-2-4,109,Pampa ondulada,,,uniforme,ligera,hídrica,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,ligeramente erosionada,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,media loma baja,NA,NA,108,,NA,C
657,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,10YR 2/1,,,,friable,,,bloques subangulares,medios,moderado,lombrices +,,1089,claro,suave,,11/645 C,NA,40,,false,1966-08-19,Pradera,Hasta los 2.10 m. no hay CaCO3.,,"1 km.en línea recta de Estación Guido Spano, al Norte.",R 364,3560-2-4,109,Pampa ondulada,,,uniforme,ligera,hídrica,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,ligeramente erosionada,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,media loma baja,6,24,13,2,NA,A12
658,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,10YR 3/3,,,,friable,,,bloques subangulares,medios,moderado,,,1090,claro,suave,,11/645 C,NA,40,,false,1966-08-19,Pradera,Hasta los 2.10 m. no hay CaCO3.,,"1 km.en línea recta de Estación Guido Spano, al Norte.",R 364,3560-2-4,109,Pampa ondulada,,,uniforme,ligera,hídrica,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,ligeramente erosionada,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,media loma baja,6.5,36,24,1,NA,B1
659,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,10YR 3/1,,,,friable,,,granular,medios,moderado,lombrices ++,,1088,abrupto,suave,,11/645 C,NA,40,,false,1966-08-19,Pradera,Hasta los 2.10 m. no hay CaCO3.,,"1 km.en línea recta de Estación Guido Spano, al Norte.",R 364,3560-2-4,109,Pampa ondulada,,,uniforme,ligera,hídrica,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,ligeramente erosionada,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,media loma baja,6,13,0,3,NA,Ap
660,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Clsk+++ (7.5YR 3/2),,7.5YR 4/2,,,,firme,,,prismas,medios,moderado,,,1091,abrupto,suave,,11/645 C,NA,40,,false,1966-08-19,Pradera,Hasta los 2.10 m. no hay CaCO3.,,"1 km.en línea recta de Estación Guido Spano, al Norte.",R 364,3560-2-4,109,Pampa ondulada,,,uniforme,ligera,hídrica,,grado 0,Rojas,Ro,NA,NA,Brunizem,NA,ligeramente erosionada,clase 0,agrícola,normal,moderada,medio,0 - 1%,clase 5,,media loma baja,NA,83,36,Vestigios,NA,B2
661,502,3366,33.1,15.2,14.2,8.4,8.9,7.4,2052,4.9,2.7,2.6,5,20.7,0.63,0.07,31.3,69.2,8.7,1.4,0,0,0,0.1,NA,NA,NA,1.8,NA,NA,NA,17 - 33,NA,9,,,10YR 5/2,10YR 7/1,Fe Mn +,,firme,,,laminar,medios,moderado,,seco,1103,abrupto,suave,"Fe Mn++ finos, precisos",11/909 C,NA,90,,false,1967-03-08,Pradera natural,"(*)Todas las características son de A2 pero aún así, después de los datos analíticos puede pasar a ser A1.
El B3 después de sus primeros 15 cm. deja de tener concreciones.",,"4,800 km. de Estación Guido Spano, en el centro sur del Mosaico.",R 363,3560-2-4,101,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Complejo de la terraza intermedia del Río Rojas,,NA,NA,Planosol,NA,anegable,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,8.2,33,17,1,NA,A22
662,502,3368,75.5,NA,34.3,8.4,9.1,7.4,735,NA,NA,4.5,14.2,39.3,0.34,0.042,12.6,51.4,8.6,0.7,0,0,0,1.2,NA,NA,0.7,NA,NA,NA,NA,64 - 90,NA,8,Clsk+++ Slck++ conspicuos,,7.5YR 5/4,,Ca ++,,friable,muy adhesivo,muy plástico,prismas,medios,débil,,húmedo,1105,gradual,ondulado,,11/909 C,NA,90,,false,1967-03-08,Pradera natural,"(*)Todas las características son de A2 pero aún así, después de los datos analíticos puede pasar a ser A1.
El B3 después de sus primeros 15 cm. deja de tener concreciones.",,"4,800 km. de Estación Guido Spano, en el centro sur del Mosaico.",R 363,3560-2-4,101,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Complejo de la terraza intermedia del Río Rojas,,NA,NA,Planosol,NA,anegable,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,9,90,64,1,NA,B22
663,502,3365,35,20.4,19.6,7.8,7.9,6.8,2249,11.6,2.3,4,2.5,19.7,1.7,0.181,31.2,72.6,6.8,0.9,0,0,0,0,NA,NA,NA,2.8,NA,NA,NA,0 - 17,NA,9,,,10YR 4/2,10YR 6/1,,,firme,,,bloques angulares,medios,fuerte,(primeros 6 cm.),seco,1102,claro,suave,"Fe Mn++ finos, débiles",11/909 C,NA,90,,false,1967-03-08,Pradera natural,"(*)Todas las características son de A2 pero aún así, después de los datos analíticos puede pasar a ser A1.
El B3 después de sus primeros 15 cm. deja de tener concreciones.",,"4,800 km. de Estación Guido Spano, en el centro sur del Mosaico.",R 363,3560-2-4,101,Pampa ondulada,,,no uniforme,,acumulación,,grado 0,Complejo de la terraza intermedia del Río Rojas,,NA,NA,Planosol,NA,anegable,clase 0,ganadero,normal,muy lenta,lento,0 - 1%,clase 2,,bajo,8.4,17,0,6,NA,A21 (*)
