field_1,id,analitico_,analitic_1,analitic_2,analitic_3,analitic_4,analitic_5,analitic_6,analitic_7,analitic_8,analitic_9,analitic10,analitic11,analitic12,analitic13,analitic14,analitic15,analitic16,analitic17,analitic18,analitic19,analitic20,analitic21,analitic22,analitic23,analitic24,analitic25,analitic26,analitic27,analitic28,analitic29,analitic30,analitic31,analitic32,barnices,co3,color_hume,color_seco,concrecion,consistenc,consiste_1,consiste_2,consiste_3,estructura,estructu_1,estructu_2,formacione,humedad,id.1,limite_tip,limite_for,moteados,perfil_num,perfil_pro,perfil_cob,perfil_mat,perfil_mod,perfil_fec,perfil_veg,perfil_obs,perfil_cap,perfil_ubi,perfil_u_1,perfil_u_2,perfil_u_3,perfil_pai,perfil_p_1,perfil_p_2,perfil_hum,perfil_ero,perfil_e_1,perfil_ped,perfil_p_3,perfil_ser,perfil_s_1,perfil_s_2,perfil_gru,perfil_g_1,perfil_fas,perfil_f_1,perfil_sal,perfil_uso,perfil_rel,perfil_per,perfil_esc,perfil_pen,perfil_ane,perfil_dre,perfil_pos,ph,profundida,profundi_1,raices,textura,tipo
1221,622,2786,23,13.2,16.1,6.1,6.5,5.1,4902,10.2,2.1,0.8,0.1,17.7,0.5,0.061,8.6,46.6,30.1,5.6,0,0,0,0,NA,NA,NA,3.4,82,NA,NA,52 - 81,NA,8,+,,10YR 3/3,,,,firme,,,bloques subangulares,medios,moderado,,,1864,claro,suave,,12/787 C,NA,NA,,false,1966-11-17,Trigo,,,"17,5 km. al W.S.W. de Estación Rafael Obligado, partido de Rojas. 20 km. al Norte de Junín",R 359,3560-8-1,106,,,,no uniforme,ligera,hídrica,,grado 0,Junín,Ju,NA,NA,Hapludol típico,NA,,clase 0,agrícola,normal,rápida,medio,0 - 1%,clase 5,,loma,7,81,52,2,NA,B31
1222,622,2787,22.3,12.2,14.7,6.5,6.7,5.1,6279,9.2,1.6,0.9,0.2,14.3,0.29,0.035,11.8,44.5,35.2,6,0,0,0,0,NA,NA,NA,2.7,83,NA,NA,81 - 134,NA,8,,,10YR 3/4,,,,firme,,,bloques subangulares,medios,moderado,,,1865,gradual,suave,,12/787 C,NA,NA,,false,1966-11-17,Trigo,,,"17,5 km. al W.S.W. de Estación Rafael Obligado, partido de Rojas. 20 km. al Norte de Junín",R 359,3560-8-1,106,,,,no uniforme,ligera,hídrica,,grado 0,Junín,Ju,NA,NA,Hapludol típico,NA,,clase 0,agrícola,normal,rápida,medio,0 - 1%,clase 5,,loma,7,134,81,1,NA,B32
1223,623,2793,17.5,12.8,12.7,8.4,8.7,7.1,3586,5,4,2.5,1.3,7,0.09,NA,11,54.1,35.2,3.7,0,0,0,0.1,NA,NA,NA,1.8,NA,NA,NA,120 +,NA,NA,,,10YR 4.5/4,,Fe pequeñas,,suelto,no ahesivo,no plástico,masiva,,,,,1871,,,"Fe++ medios, precisos",12/788 C,NA,95,,true,1966-11-17,"Pradera natural (cardos, ray grass, manzanilla)","El horizonte C se encuentra de húmedo a mojado, el agua asciende por capilaridad.",,"14,3 km. al W.S.W. de Estación Rafael Obligado, partido  de Rojas.",RH 359,3560-8-1,20,,,,uniforme,ligera,hídrica,,grado 0,Fortín Tiburcio,FT,NA,NA,Hapludol,NA,,clase 0,ganadero,normal,moderada,medio,1 - 3%,clase 5,,media loma alta,7.5,NA,120,,NA,C
1224,623,2791,26.6,13.7,15.5,5.7,6.2,4.9,4252,9.1,2.7,1.7,0.2,22.1,0.48,0.068,11.8,39.6,35.8,2.5,0,0,0,0,NA,NA,NA,4.7,88,NA,NA,29 - 58,NA,7,Clsk +,,10YR 3/2,,,,friable,adhesivo,plástico,bloques subangulares,medios,moderado,,,1869,claro,suave,,12/788 C,NA,95,,true,1966-11-17,"Pradera natural (cardos, ray grass, manzanilla)","El horizonte C se encuentra de húmedo a mojado, el agua asciende por capilaridad.",,"14,3 km. al W.S.W. de Estación Rafael Obligado, partido  de Rojas.",RH 359,3560-8-1,20,,,,uniforme,ligera,hídrica,,grado 0,Fortín Tiburcio,FT,NA,NA,Hapludol,NA,,clase 0,ganadero,normal,moderada,medio,1 - 3%,clase 5,,media loma alta,7,58,29,1,NA,B2
1225,623,2790,26.9,16.5,18.5,5.5,5.7,5.2,2477,12.5,2.2,1.7,0.1,19.4,1.77,0.187,13.3,49,28.7,2.9,0,0,0,0,NA,NA,NA,6.5,89,NA,NA,13 - 29,NA,9,,,10YR 2/2,,,,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,lombrices,,1868,abrupto,suave,,12/788 C,NA,95,,true,1966-11-17,"Pradera natural (cardos, ray grass, manzanilla)","El horizonte C se encuentra de húmedo a mojado, el agua asciende por capilaridad.",,"14,3 km. al W.S.W. de Estación Rafael Obligado, partido  de Rojas.",RH 359,3560-8-1,20,,,,uniforme,ligera,hídrica,,grado 0,Fortín Tiburcio,FT,NA,NA,Hapludol,NA,,clase 0,ganadero,normal,moderada,medio,1 - 3%,clase 5,,media loma alta,6.5,29,13,2,NA,A12
1226,623,2789,28.1,17.9,20.1,5.3,5.5,5.1,1405,13.4,2.3,2.1,0.1,19.8,2.42,0.263,11.7,48.4,29.8,2,0,0,0,0,NA,NA,NA,6.8,89,NA,NA,0 - 13,NA,9,,,10YR 3/1,,,,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,lombrices,,1867,abrupto,suave,,12/788 C,NA,95,,true,1966-11-17,"Pradera natural (cardos, ray grass, manzanilla)","El horizonte C se encuentra de húmedo a mojado, el agua asciende por capilaridad.",,"14,3 km. al W.S.W. de Estación Rafael Obligado, partido  de Rojas.",RH 359,3560-8-1,20,,,,uniforme,ligera,hídrica,,grado 0,Fortín Tiburcio,FT,NA,NA,Hapludol,NA,,clase 0,ganadero,normal,moderada,medio,1 - 3%,clase 5,,media loma alta,6.5,13,0,3,NA,Ap
1227,623,2792,21.7,12.7,13.5,6.2,6.5,5,5897,7.6,3.5,1.4,0.2,15.8,0.21,0.029,12.1,41.1,39.6,3.5,0,0,0,0,NA,NA,NA,2.7,94,NA,NA,58 - 120,NA,7,Clsk medios,,10YR 3/4,,,ligeramente duro,,ligeramente adhesivo,ligeramente plástico,bloques angulares,medios,moderado,,,1870,gradual,suave,,12/788 C,NA,95,,true,1966-11-17,"Pradera natural (cardos, ray grass, manzanilla)","El horizonte C se encuentra de húmedo a mojado, el agua asciende por capilaridad.",,"14,3 km. al W.S.W. de Estación Rafael Obligado, partido  de Rojas.",RH 359,3560-8-1,20,,,,uniforme,ligera,hídrica,,grado 0,Fortín Tiburcio,FT,NA,NA,Hapludol,NA,,clase 0,ganadero,normal,moderada,medio,1 - 3%,clase 5,,media loma alta,7,120,58,,NA,B3
1228,624,2840,38.5,NA,26.6,8.1,9.1,7.5,1282,NA,NA,3.1,6.3,14,0.23,0.036,26,68.1,15.6,2.3,0,0,0,2.7,NA,NA,NA,NA,NA,NA,NA,90 - 130,NA,6,,,10YR 4/4,,Fe Mn+ Ca ++,,muy firme,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,cementación,,1876,,,"Fe Mn+ finos, débiles (10YR 3/2)",12/797 C,130,100,,false,1966-11-24,Pradera natural (Pelo de chancho),,,"12,300 km. al Sur de Estación Rafael Obligado, partido de Rojas",R 356,3560-8-1,100,,,,uniforme,,acumulación,,grado 0,S/n del Complejo La Brava,,NA,NA,Natracuol típico,NA,muy anegadiza,clase 4,ganadero,cóncavo,muy lenta,estancado,0 - 1%,clase 1,,bajo,8.8,150,90,,NA,IIIB3
1229,624,2836,28.8,16,15,8.1,8.9,7.2,1663,7.6,1.5,2.1,4.8,16,0.92,0.115,25.7,65.1,16.2,2.7,0,0,0,0,NA,NA,NA,1.1,NA,NA,NA,0 - 19,NA,8,,,10YR 2/2,10YR 5/2,Fe Mn +++,,friable,ligeramente adhesivo,ligeramente plástico,bloques subangulares,medios,moderado,,,1872,claro,suave,"Fe Mn comunes, finos, precisos",12/797 C,130,100,,false,1966-11-24,Pradera natural (Pelo de chancho),,,"12,300 km. al Sur de Estación Rafael Obligado, partido de Rojas",R 356,3560-8-1,100,,,,uniforme,,acumulación,,grado 0,S/n del Complejo La Brava,,NA,NA,Natracuol típico,NA,muy anegadiza,clase 4,ganadero,cóncavo,muy lenta,estancado,0 - 1%,clase 1,,bajo,8.2,19,0,3,NA,A1
1230,624,2838,37.4,NA,23,8.4,9.2,7.6,702,NA,NA,2.7,9.7,26.8,0.34,0.048,28.3,60.1,11.8,1.3,0,0,0,1.1,NA,NA,1.7,NA,NA,NA,NA,34 - 46,NA,7,,,10YR 4/3,,Fe Mn+++ Ca+++,,muy firme,ligeramente adhesivo,ligeramente plástico,laminar,medios,débil,,,1874,claro,suave,"Fe Mn comunes, medios, precisos",12/797 C,130,100,,false,1966-11-24,Pradera natural (Pelo de chancho),,,"12,300 km. al Sur de Estación Rafael Obligado, partido de Rojas",R 356,3560-8-1,100,,,,uniforme,,acumulación,,grado 0,S/n del Complejo La Brava,,NA,NA,Natracuol típico,NA,muy anegadiza,clase 4,ganadero,cóncavo,muy lenta,estancado,0 - 1%,clase 1,,bajo,8.6,46,34,1,NA,II
