"","id.p","is.mottles","is.concr","thick.A","a_S.A","a_sat_CEC.A","esp.A","esp.B","a_OC.A","Bt","is.caco3","d.caco3","is.E","is.hydro","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","X","Y"
"43",414,1,0,25,15.076,79.6,0.663305916688777,1.09213516088837,1.5336,1.61505578938305,0,NA,0,0,23.1069278717041,1326.15954589844,42.4276008605957,61.1543579101562,0.0757818818092346,1.66131687164307,8.03815746307373,18.7957096099854,0.103448279201984,295.803299061573,7.28074653318715,4063.59027777778,659.865322275069,5501074.36244262,6293359.22702622
"45",419,1,1,21,14.5,81,2.06896551724138,NA,1.42,2.35979706567942,1,29,0,1,30.3790321350098,13734.7861328125,30.0008449554443,-5.83816242218018,3.93119883537292,0.131308108568192,15.6294403076172,0.766742706298828,0.137931033968925,297.28256198933,7.65361309988999,3294.20138888889,1479.7015460736,5500274.54995914,6279979.84331986
"46",420,0,1,27,16.1,80,0.62111801242236,0.684322787060078,1.75,2.2042822042822,0,NA,0,0,31.1855430603027,6906.45263671875,530.769165039062,-17.1011085510254,2.90683078765869,0.272153794765472,12.8272733688354,6.7812614440918,0,297.403947216725,7.81251003509209,3641.13888888889,1643.65444197706,5508753.77870193,6282221.3182256
"48",422,0,1,18,21.41,93.08,7.94021485287249,28.1492281173353,0.45,1.94046226677806,1,18,0,0,29.2711124420166,14555.6982421875,0,-16.343957901001,0.900778532028198,0.138894781470299,10.1727714538574,2.25711441040039,1.79310345649719,296.909722321225,7.69729887909591,3399.11111111111,918.660495748623,5502482.70289168,6277640.92863584
"49",425,0,0,23,18.2086956521739,86.3478260869565,2.19675262655205,2.60021668472373,1.55347826086957,1.1863701285452,0,NA,0,0,95.8574676513672,134083.640625,1344.69396972656,-6.81307649612427,6.16792345046997,0.0547825247049332,14.2292671203613,0,0,296.814545214701,7.33909868856884,3295.71527777778,2137.29056525415,5384221.57800214,6219720.77801647
"50",426,0,0,40,17.9,89.9,3.07262569832402,3.48837209302326,1.493,1.0958904109589,0,NA,0,0,95.7552947998047,133766.9375,1049.60095214844,-4.04123735427856,6.09326648712158,0.0788056403398514,12.3600339889526,0.841957092285156,0,296.781083516111,7.31237966496141,3250.99305555556,1874.34223612799,5384502.5779972,6219871.27802238
"51",430,1,0,30,16.82,86.4,0.951248513674197,1.17647058823529,1.47,1.26383763837638,0,NA,0,0,102.327751159668,134066.078125,108.169586181641,-35.2995758056641,1.91508412361145,0.173412054777145,17.2839698791504,0.476829528808594,0,296.682300803936,7.12576606230113,3313.84722222222,1894.47684281552,5369513.67800238,6235268.97801834
"52",431,1,1,29,19.7724137931034,89.3103448275862,1.01151028950122,12.7953410981697,2.20344827586207,1.06178489702517,1,107,1,1,102.496597290039,134487.8125,256.327331542969,-6.67338848114014,4.96696996688843,0.0141695328056812,17.9101676940918,0.228744506835938,0,296.667651222939,7.16275539304576,3834.47222222222,2326.00685753953,5369042.77800363,6235166.97802311
"53",432,0,0,28,17.8821428571429,89,1.45795885759936,1.22699386503067,1.85285714285714,1.12794070254592,0,NA,0,0,101.701385498047,124844.09375,666.126892089844,2.15116548538208,5.32481622695923,0.135518997907639,11.7775259017944,1.50551605224609,0,296.681953385031,6.99916282320999,3287.47222222222,2108.00274659275,5380181.27799511,6237205.87801729
"60",441,0,0,23,19.2695652173913,80.4347826086957,1.03790613718412,0.931315483119907,1.90913043478261,1.39513590844063,0,NA,0,0,82.582763671875,116216.28125,708.045349121094,-2.03158903121948,3.9428129196167,0.0518789477646351,12.3675327301025,0.134605407714844,0,296.820175573623,7.30920172969922,3298.85416666667,1906.40532371901,5403107.77800179,6226714.17801872
