"","idp","clay.A","clay.B","clay.C","cec.A","cec.B","cec.C","oc.A","oc.B","oc.C","dem","twi","vdchn","evim","evisd","lstm","lstsd","ndwi.a","ndwi.b","X","Y"
"61",7411,46.2999992,54.4666659333333,37.2999992,30.7000008,30.7333329333333,20.3999996,3.88000011,1.43666665,0.639999986,388.584503173828,8.44658851623535,5.41000366210938,28815103.626943,14845808.0178722,296.710763888889,9.65555732423281,-0.022093169362183,-0.131630923911184,526704.640653847,13504.3988895371
"62",7412,17.1000004,23.3255319829787,22.7999992,11,9.99787248,7.9000001,1.77999997,0.419148940765957,0.150000006,426.349578857422,8.7669095993042,24.4756774902344,25470025.9067358,10905462.2915095,297.253552859619,10.6450831777971,-0.08679174578901,-0.136871083115693,414775.759108181,85739.139689461
"63",7413,21.7000008,29.3999996,41.2999992,11.3999996,13.1000004,13.5,1.91999996,1.24000001,0.109999999,419.086761474609,7.00379323959351,15.0816040039062,26891243.5233161,10835352.7205857,297.253552859619,10.6450831777971,-0.0841221433927453,-0.141938139616087,415377.531757086,85432.0031222292
"64",7415,20.6434788347826,39.2999992,32.7999992,15.7826088695652,16.6000004,12.8999996,2.79521738956522,1.08000004,0.460000008,496.495178222656,6.60343885421753,4.04458618164062,28071528.4974093,12162800.4505741,298.304340277778,10.8577447533651,-0.0931417261600835,-0.0897708201635144,349619.21617005,89895.9985916418
"65",7416,34.3324335540541,40.20999994,28.2200003171429,24.7540539891892,28.223749895,18.6799999771429,1.74972978513514,1.0697499988,0.290285720942857,372.560150146484,6.54414319992065,3.68939208984375,32841502.5906736,13377710.3168208,297.957277486911,11.2599416642032,-0.0562262434901896,-0.00577435569071232,436846.344380351,59677.4750444199
"66",7417,26.7000008,31.2053839292308,27.1000004,18.1000004,18.7238464646154,16.2999992,1.57000005,0.501076919807692,0.100000001,360.120910644531,18.1865177154541,0,29297072.5388601,12555800.4799943,297.413899480069,10.9934932243851,-0.111117990757402,-0.00241467120823368,448828.451105108,57568.7725277141
"67",7508,21.8727278545455,44.5036147325301,26.8930224558139,15.9636364,32.4337341120482,25.3325577023256,1.37818185818182,0.623373486313253,0.157906976627907,536.674926757812,9.48618316650391,0.01806640625,26992202.0725389,21079825.2677791,294.839201388889,10.3782226201029,0.107835105905105,-0.183351389791637,396679.759172385,241667.17315369
"68",7510,18.7000008,40.2718523140741,34.0999985,15.6000004,26.0592597481481,26.8999996,2.66000009,0.337185178133333,0.100000001,509.216430664062,20.1154460906982,0.00494384765625,27223082.9015544,20688601.3557091,295.050122591944,10.7370716622216,0.0841170623632881,-0.176335051679326,418206.078895079,240145.453866473
"69",7511,29.8677425032258,42.7730775487179,30.9159085272727,20.8387096774194,30.580768924359,27.7227267545455,1.77096776129032,0.582179479487179,0.164090912272727,507.735015869141,7.54611682891846,3.37606811523438,25514870.4663212,21108491.0620878,294.860767888307,10.3996858867075,0.102931086991194,-0.202463110720863,421369.778378993,229766.103245422
"70",7667,28.47999952,42.0810132848101,30.3999996,21.56000064,30.5784812443038,26.2999992,2.015999936,0.762025315797468,0.159999996,490.287292480469,7.10938501358032,2.10488891601562,25756554.4041451,18157278.5103448,295.139269565217,10.8017395757696,0.0145448503949098,-0.172754181158923,449716.795877596,237014.583309568
