,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
1433,666,666_C1,C,140,200,60,NA,20.2,7.1,5.2,3176,0.06,13.7,22.6,22.2,3,2,clase 4,NA,3.2,63.6193847656,93944.7421875,42.4276008606,0.3874322176,5.7143564224,0.0654596165,11.9215993881,0.7264060974,0.137931034,296.3019616056,7.6553588624,3287.2638888889,2270.4416439422,0.0702729556,-0.1414141909,0.107204058,5490055.47799736,6183067.678023
1434,666,666_A2,E,25,43,18,16.7,18.2,6.9,5.5,5294,0.63,25.1,26.8,16.5,3,2,clase 4,NA,3.2,63.6193847656,93944.7421875,42.4276008606,0.3874322176,5.7143564224,0.0654596165,11.9215993881,0.7264060974,0.137931034,296.3019616056,7.6553588624,3287.2638888889,2270.4416439422,0.0702729556,-0.1414141909,0.107204058,5490055.47799736,6183067.678023
1435,667,667_A1,A,12,26,14,15.8,21.9,6.5,5,6285,0.84,21.1,38.4,11.2,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1436,667,667_Ap,A,0,12,12,19,23.7,6.1,5.1,5125,1.91,25.6,27.9,15.4,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1437,667,667_B1,AB.BA,26,40,14,18.6,23.6,6.5,5,3274,0.65,29.7,28.5,12.3,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1438,667,667_B21,B,40,60,20,25.4,29.2,6.9,4.8,2448,0.23,33.4,29.9,10.3,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1439,667,667_B22,B,60,100,40,21.9,24.2,7,4.9,3240,0.11,23.8,25,13.9,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1440,667,667_B33ca,BC,165,220,55,NA,38.9,8.3,7,1420,0.02,34.2,24.6,11,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1441,667,667_B32,BC,125,165,40,NA,26.9,8.2,7,2449,0.04,16.2,32.8,6.9,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1442,667,667_B31,BC,100,125,25,22.2,25,7.1,5.6,2680,0.05,15.3,25,16.2,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1443,667,667_Cca,C,220,240,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,57.1858825684,86689.46875,0,0.1444927156,4.3953361511,0.1607714146,11.0008468628,2.2617149353,1.344827652,296.4823458943,8.0227787478,4148.3333333333,1760.5303952864,0.0196874957,-0.0357559367,0.0983732782,5495138.17800003,6188482.57802632
1444,669,669_A12,A,16,33,17,18.7,22.6,6.1,5,5774,2.23,24.1,28.2,16.9,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1445,669,669_A11,A,0,16,16,19.8,23.9,6.2,5.5,5434,2.28,27.5,28,14,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1446,669,669_B1,AB.BA,33,54,21,11.4,12.8,6.4,4.9,7812,0.53,22.5,26,17,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1447,669,669_B21,B,54,76,22,25,29.5,6.6,4.7,2478,0.48,36.6,23,11.9,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1448,669,669_B22,B,76,111,35,23.7,28.3,6.7,4.7,2937,0.31,33.7,23,13.4,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1449,669,669_B32,BC,190,240,50,36.6,40.9,7.2,5,1765,0.11,31.5,41.3,3.6,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1450,669,669_B31,BC,111,190,79,19.3,20.4,6.8,4.7,3904,0.22,24.9,25.9,14.7,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1451,669,669_Cca,C,240,260,20,NA,NA,8.2,7,1868,0.1,20.2,31.4,9.9,2,2,clase 4,NA,2.2,52.7805480957,82156.8125,210.0059204102,4.7514419556,5.9190592766,0.1791882813,10.5210933685,4.7035140991,0,296.6627648297,8.420625683,4105.75,1173.7379861536,-0.0381422842,-0.0361637054,0.0512246015,5499091.07799625,6191469.97802013
1452,670,670_A12,A,5,15,10,19.7,18.9,8.5,6.6,1469,1.41,24,21.6,18,1,1,clase 3,NA,1.1,52.5583534241,82084.7734375,174.9334869385,1.7855627537,5.957859993,0.1075639129,10.8890161514,4.6238555908,0,296.6627648297,8.420625683,4299.7986111111,1010.0333275666,-0.0381422842,-0.0361637054,0.0512246015,5499234.07799695,6191444.97802386
1453,670,670_A11,A,0,5,5,14.4,17.7,6.3,5,2610,3.06,18.1,26.5,19,1,1,clase 3,NA,1.1,52.5583534241,82084.7734375,174.9334869385,1.7855627537,5.957859993,0.1075639129,10.8890161514,4.6238555908,0,296.6627648297,8.420625683,4299.7986111111,1010.0333275666,-0.0381422842,-0.0361637054,0.0512246015,5499234.07799695,6191444.97802386
1454,670,670_B22,B,35,60,25,28.1,29.9,9.4,7.3,743,0.37,31,25.8,13.3,1,1,clase 3,NA,1.1,52.5583534241,82084.7734375,174.9334869385,1.7855627537,5.957859993,0.1075639129,10.8890161514,4.6238555908,0,296.6627648297,8.420625683,4299.7986111111,1010.0333275666,-0.0381422842,-0.0361637054,0.0512246015,5499234.07799695,6191444.97802386
1455,670,670_B21,B,15,35,20,32.6,33.6,9.2,7.2,578,0.82,47,20.8,8.8,1,1,clase 3,NA,1.1,52.5583534241,82084.7734375,174.9334869385,1.7855627537,5.957859993,0.1075639129,10.8890161514,4.6238555908,0,296.6627648297,8.420625683,4299.7986111111,1010.0333275666,-0.0381422842,-0.0361637054,0.0512246015,5499234.07799695,6191444.97802386
1456,670,670_B3x,BC,60,130,70,NA,34,9.3,7.2,872,0.18,28.1,26.9,15.2,1,1,clase 3,NA,1.1,52.5583534241,82084.7734375,174.9334869385,1.7855627537,5.957859993,0.1075639129,10.8890161514,4.6238555908,0,296.6627648297,8.420625683,4299.7986111111,1010.0333275666,-0.0381422842,-0.0361637054,0.0512246015,5499234.07799695,6191444.97802386
1457,670,670_C,C,130,150,20,31.8,21.8,9,6.8,1692,NA,18.5,25.9,17.5,1,1,clase 3,NA,1.1,52.5583534241,82084.7734375,174.9334869385,1.7855627537,5.957859993,0.1075639129,10.8890161514,4.6238555908,0,296.6627648297,8.420625683,4299.7986111111,1010.0333275666,-0.0381422842,-0.0361637054,0.0512246015,5499234.07799695,6191444.97802386
1458,671,671_A1,A,15,28,13,19.7,24.4,6.1,5.1,3614,2.07,26.3,27.8,15.6,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1459,671,671_Ap,A,0,15,15,21.1,26.1,6.2,5.2,2889,2.68,27.7,26.8,14.2,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1460,671,671_B1,AB.BA,28,42,14,18.2,19.2,6.3,5,3614,1.08,29.7,25,16,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1461,671,671_B22,B,70,112,42,20.4,21.3,6.7,5.1,2766,0.21,30.7,24,13.8,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1462,671,671_B21,B,42,70,28,19.4,22.5,6.6,5.1,2904,0.64,32.7,29,10.7,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1463,671,671_B3,BC,112,190,78,20.7,22,6.8,5.2,3109,0.16,28.7,27,12.9,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1464,671,671_C,C,190,210,20,20.4,20.6,7,5.5,3764,0.16,17.3,25.8,15.7,3,3,clase 5,NA,3.3,68.0157470703,91153.453125,0,1.9575666189,4.9669923782,0.0630120039,13.4504060745,0.8344421387,1.9655172825,296.6315637999,7.7222075357,3054.9583333333,2018.9967870761,0.072981878,-0.1822021825,0.065841344,5479612.37799826,6193820.47802359
1465,673,673_Ap,A,0,10,10,23.3,17.1,8.4,6.8,1750,1.77,19.2,31.6,18.6,3,2,clase 5,NA,3.2,49.7170257568,81279.4921875,84.8552017212,-35.7929382324,1.820499301,0.1984435767,15.0891714096,0.1785736084,0.068965517,296.6292944515,8.1265692864,3280.2083333333,768.5396912281,-0.0398813669,-0.0333537168,0.0429730396,5494037.77799769,6195496.87802089
1466,673,673_A1,A,10,19,9,27.1,18.9,8.9,7.32,1239,1.33,22.5,24.9,18.6,3,2,clase 5,NA,3.2,49.7170257568,81279.4921875,84.8552017212,-35.7929382324,1.820499301,0.1984435767,15.0891714096,0.1785736084,0.068965517,296.6292944515,8.1265692864,3280.2083333333,768.5396912281,-0.0398813669,-0.0333537168,0.0429730396,5494037.77799769,6195496.87802089
1467,673,673_B22ca,B,37,54,17,NA,31.7,9.4,7.3,676,0.27,33.6,26.4,8.6,3,2,clase 5,NA,3.2,49.7170257568,81279.4921875,84.8552017212,-35.7929382324,1.820499301,0.1984435767,15.0891714096,0.1785736084,0.068965517,296.6292944515,8.1265692864,3280.2083333333,768.5396912281,-0.0398813669,-0.0333537168,0.0429730396,5494037.77799769,6195496.87802089
1468,673,673_B21ca,B,19,37,18,40.3,34.6,9.1,7.1,661,0.67,50.6,18,9.5,3,2,clase 5,NA,3.2,49.7170257568,81279.4921875,84.8552017212,-35.7929382324,1.820499301,0.1984435767,15.0891714096,0.1785736084,0.068965517,296.6292944515,8.1265692864,3280.2083333333,768.5396912281,-0.0398813669,-0.0333537168,0.0429730396,5494037.77799769,6195496.87802089
1469,673,673_B3ca,BC,54,85,31,30,26.2,9.2,7.1,1206,0.18,18,28.3,17.2,3,2,clase 5,NA,3.2,49.7170257568,81279.4921875,84.8552017212,-35.7929382324,1.820499301,0.1984435767,15.0891714096,0.1785736084,0.068965517,296.6292944515,8.1265692864,3280.2083333333,768.5396912281,-0.0398813669,-0.0333537168,0.0429730396,5494037.77799769,6195496.87802089
1470,673,673_Cca,C,85,105,20,25.9,22.2,9.1,7.1,1750,0.15,15.5,20.8,20.1,3,2,clase 5,NA,3.2,49.7170257568,81279.4921875,84.8552017212,-35.7929382324,1.820499301,0.1984435767,15.0891714096,0.1785736084,0.068965517,296.6292944515,8.1265692864,3280.2083333333,768.5396912281,-0.0398813669,-0.0333537168,0.0429730396,5494037.77799769,6195496.87802089
1471,674,674_A1,A,0,19,19,13.3,19.9,5.2,4.7,2879,1.79,24.1,23,13.7,2,2,clase 3,NA,2.2,61.1052627563,96022.5078125,169.7104034424,-2.5225896835,4.9236278534,0.1554374695,12.5209274292,1.168094635,0,296.4756825093,7.771670298,3612.4652777778,1176.7213424031,-0.0234343564,-0.0512855654,0.0452115975,5481534.77800364,6186215.57802719
1472,674,674_B21,B,19,43,24,15.8,19.3,7.3,5.8,2321,0.33,29.8,20.9,13,2,2,clase 3,NA,2.2,61.1052627563,96022.5078125,169.7104034424,-2.5225896835,4.9236278534,0.1554374695,12.5209274292,1.168094635,0,296.4756825093,7.771670298,3612.4652777778,1176.7213424031,-0.0234343564,-0.0512855654,0.0452115975,5481534.77800364,6186215.57802719
1473,674,674_B22,B,43,66,23,NA,26.5,8.6,7.3,1332,0.18,29,24,15.2,2,2,clase 3,NA,2.2,61.1052627563,96022.5078125,169.7104034424,-2.5225896835,4.9236278534,0.1554374695,12.5209274292,1.168094635,0,296.4756825093,7.771670298,3612.4652777778,1176.7213424031,-0.0234343564,-0.0512855654,0.0452115975,5481534.77800364,6186215.57802719
1474,674,674_B3,BC,66,135,69,NA,22.6,8.6,7.2,1740,0.08,21,22.1,15.4,2,2,clase 3,NA,2.2,61.1052627563,96022.5078125,169.7104034424,-2.5225896835,4.9236278534,0.1554374695,12.5209274292,1.168094635,0,296.4756825093,7.771670298,3612.4652777778,1176.7213424031,-0.0234343564,-0.0512855654,0.0452115975,5481534.77800364,6186215.57802719
1475,677,677_A1,A,8,20,12,18,21.4,5.4,4.8,3223,1.6,29.2,25.1,8.2,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1476,677,677_Ap,A,0,8,8,17.4,21.9,5.4,4.6,2536,1.64,29.1,24.9,7.9,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1477,677,677_B1,AB.BA,20,30,10,16.2,19.3,5.8,4.7,3739,0.65,33.3,25,6.9,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1478,677,677_B22,B,58,95,37,22.9,27.4,6.3,4.8,2535,0.33,34.2,24.6,8.1,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1479,677,677_B21,B,30,58,28,23.5,27.9,6.1,4.7,2579,0.5,43.2,18.2,6.9,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1480,677,677_B3,BC,95,150,55,20.3,24,6.5,4.8,2836,0.14,24.5,25.5,8.6,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1481,677,677_C,C,150,170,20,23.5,26.1,6.9,5.2,2199,0.12,11,34.1,3.3,3,3,clase 5,NA,3.3,67.0929718018,84974.4765625,60.0016899109,-6.2915768623,5.0558190346,0.0852722004,13.581205368,4.5813217163,0.1724137962,296.6279354489,7.7635146794,3741.5138888889,2013.1627240866,0.0694877512,-0.1255176899,0.0903576067,5483729.17799922,6198440.27802314
1482,680,680_A1,A,0,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,69.7619018555,116738.7734375,84.8552017212,-6.6098275185,5.8357133865,0.0746671408,12.4437770844,0.1676101685,0.0344827585,296.190557038,7.6098487708,3142.9930555556,1654.0979900812,0.0516266573,-0.1288365288,0.1127096215,5463083.07800036,6174300.37802417
1483,680,680_B22ca,B,52,73,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,69.7619018555,116738.7734375,84.8552017212,-6.6098275185,5.8357133865,0.0746671408,12.4437770844,0.1676101685,0.0344827585,296.190557038,7.6098487708,3142.9930555556,1654.0979900812,0.0516266573,-0.1288365288,0.1127096215,5463083.07800036,6174300.37802417
1484,680,680_B21,B,33,52,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,69.7619018555,116738.7734375,84.8552017212,-6.6098275185,5.8357133865,0.0746671408,12.4437770844,0.1676101685,0.0344827585,296.190557038,7.6098487708,3142.9930555556,1654.0979900812,0.0516266573,-0.1288365288,0.1127096215,5463083.07800036,6174300.37802417
1485,680,680_B3ca,BC,73,105,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,69.7619018555,116738.7734375,84.8552017212,-6.6098275185,5.8357133865,0.0746671408,12.4437770844,0.1676101685,0.0344827585,296.190557038,7.6098487708,3142.9930555556,1654.0979900812,0.0516266573,-0.1288365288,0.1127096215,5463083.07800036,6174300.37802417
1486,680,680_Cca,C,105,125,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,69.7619018555,116738.7734375,84.8552017212,-6.6098275185,5.8357133865,0.0746671408,12.4437770844,0.1676101685,0.0344827585,296.190557038,7.6098487708,3142.9930555556,1654.0979900812,0.0516266573,-0.1288365288,0.1127096215,5463083.07800036,6174300.37802417
1487,680,680_A2,E,25,33,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,clase 4,NA,2.2,69.7619018555,116738.7734375,84.8552017212,-6.6098275185,5.8357133865,0.0746671408,12.4437770844,0.1676101685,0.0344827585,296.190557038,7.6098487708,3142.9930555556,1654.0979900812,0.0516266573,-0.1288365288,0.1127096215,5463083.07800036,6174300.37802417
1488,681,681_A1,A,13,30,17,22.3,24.7,5.7,5.1,3783,2.58,26.4,18.8,18.2,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1489,681,681_Ap,A,0,13,13,23.8,25.8,5.6,5.1,2675,3.03,27.6,21.3,20.3,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1490,681,681_B22,B,78,100,22,24,25.1,6.4,5.2,2632,0.48,30.5,19.1,23.3,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1491,681,681_B21,B,46,78,32,20.9,22.8,6.2,5.2,3097,0.58,33.3,18.5,21.9,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1492,681,681_B3,BC,100,125,25,19.3,20.4,6.8,5.3,3251,0.33,18.1,18.1,26.9,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1493,681,681_C2ca,C,184,204,20,NA,21.3,8.8,7.4,1354,0.1,NA,NA,NA,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1494,681,681_C1,C,125,184,59,18.3,18.1,7.4,5.6,3642,0.2,15.2,20.7,23,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1495,681,681_A2,E,30,46,16,16.5,17.8,6,5.2,4604,0.94,25.5,21.9,27.7,3,3,clase 5,NA,3.3,70.3795471191,111721.734375,152.974899292,2.4202287197,5.9723234177,0.095843792,11.4400405884,1.4358520508,0,296.361642295,7.6965759442,3141.4027777778,1929.106874473,0.0274216337,-0.108360191,0.0930663638,5466023.47800011,6178391.27802119
1496,682,682_A11,A,0,16,16,27.5,30,6,5.6,3135,2.56,30.2,21.9,13.3,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1497,682,682_A12,A,16,32,16,23.9,26.4,5.9,5.1,4643,2.17,29,24.8,11.4,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1498,682,682_B1,AB.BA,32,50,18,16.6,18.8,5.9,5.1,5223,0.81,29.3,23.7,12.5,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1499,682,682_B21,B,50,77,27,18.7,20.4,6.1,4.7,3677,0.55,33.7,20.7,15.3,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1500,682,682_B22,B,77,130,53,22.4,23.9,6.2,4.6,3213,0.38,33.9,16.6,18.2,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1501,682,682_B3,BC,130,190,60,18.3,19.9,6.4,4.5,3869,0.19,13.4,16.5,24.3,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1502,682,682_C,C,190,210,20,21.1,21.4,6.7,4.9,3869,0.09,11.4,26.5,12.9,3,3,clase 5,NA,3.3,72.5260772705,115239.5234375,150.0042266846,-2.7301981449,7.406434536,0.0312476102,11.7101917267,2.3639831543,0,296.4069307078,7.7908117063,2952.2291666667,1691.3278423157,0.0134856999,-0.1666346209,0.079499045,5460710.6780016,6178307.77802584
1503,683,683_A12,A,16,28,12,21.2,23.9,5.8,5,6190,1.56,27,20,17.5,3,3,clase 5,NA,3.3,71.5090942383,113397.96875,60.0016899109,-6.898206234,5.6607108116,0.0854697153,12.0611371994,2.1218719482,0.2758620679,296.3434410993,7.7313931207,3637.5555555556,1911.7272488028,0.0610310092,-0.1220497406,0.073849207,5461100.17800181,6180439.77802717
