,id.p,id.p.h,hor,top,bottom,thick,tb,CEC,phw,phkcl,resist,OC,clay,silt20,sand.mf,p_permeabilidad,p_escurrimiento,p_anegamiento,p_drenaje,dren,dem,river,wdist,maxc,mrvbf,slope,twi,vdchn,water,lstm,lstsd,evim,evisd,ndwi.a,ndwi.b,ndwi.bsd,X,Y
67,342,342_C2,C,215,235,20,NA,20.1,8.1,7.3,3467,0.12,15.7,25.4,9.5,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
68,342,342_C1,C,170,215,45,NA,19.8,7.6,6.7,2677,0.12,16.3,26.9,10.1,2,3,clase 5,clase 3,2.3,81.3219985962,65128.48046875,161.5594940186,-4.0811362267,3.9668619633,0.1022448316,14.2264556885,0.3397598267,0,297.3353956116,7.8967471099,3519.7777777778,1971.7218148884,0.0636227557,-0.1645545947,0.0846400596,5420244.47800326,6282039.27802031
69,347,347_A1,A,14,24,10,15.1,21.9,5.2,4.8,2458,1.62,23.7,28,4.9,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
70,347,347_Ap,A,0,14,14,15.9,22.3,5.4,5.1,1492,1.95,22.2,27.9,5.3,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
71,347,347_B21,B,32,56,24,26.9,32.9,6.2,5.4,1799,0.61,49.2,18.7,6.2,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
72,347,347_B22,B,56,95,39,25.6,29.6,6.9,5.9,2063,0.29,24.9,29.5,8.3,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
73,347,347_B3,BC,95,180,85,NA,26.2,8,6.8,2160,0.15,15.5,30.1,5.4,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
74,347,347_Cca,C,180,200,20,NA,26.8,8.1,7,1891,0.12,12,35.1,3.4,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
75,347,347_A2 (B1),E,24,32,8,14,19.8,5.5,4.9,3160,0.96,26.7,26.2,6.1,2,3,clase 4,NA,2.3,64.9336395264,59467.46484375,818.8637084961,-2.4400482178,3.7837700844,0.2015775889,11.2760028839,2.2929534912,0,297.4887016994,8.2252732984,3073.6388888889,1441.4488758516,-0.0376771458,-0.0942636452,0.0580958508,5425995.27799846,6283981.27801911
76,348,348_A1,A,13,25,12,15.9,22.5,5.6,5.2,2725,1.43,28.2,27.1,5.4,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
77,348,348_Ap,A,0,13,13,17.4,24,5.6,5.3,1760,1.77,26.5,28,4.4,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
78,348,348_B1,AB.BA,25,33,8,14.5,20.6,5.5,4.7,4295,0.8,29.3,27.8,4.1,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
79,348,348_B21,B,33,76,43,25.7,32.2,6.1,4.9,2461,0.5,43.8,24.2,3.9,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
80,348,348_B22,B,76,112,36,26.3,31.4,6.5,5.2,2282,0.29,34.9,25.8,3.6,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
81,348,348_B3,BC,112,168,56,20.5,22.1,6.6,5.2,2775,0.13,18.9,30.7,6.2,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
82,348,348_C,C,168,188,20,20.4,20.9,7,5.6,3446,0.07,13.7,29.5,6,2,3,clase 5,clase 2,2.3,80.7823104858,63346.55859375,335.4196472168,-2.9808998108,4.6509375572,0.0820575133,13.5247325897,12.5311508179,0,297.4479646936,7.817439715,3893.1875,1818.6106122542,0.0520742156,-0.1250168282,0.0531408898,5416417.17800257,6290604.0780238
83,350,350_A1,A,13,25,12,16.8,21.5,5.7,5.5,4498,1.89,23,26.5,5.8,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
84,350,350_Ap,A,0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
85,350,350_B1,AB.BA,25,33,18,15.4,19,5.9,5.4,4131,0.81,27,24.4,7.7,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
86,350,350_B21,B,33,46,13,18.3,22.3,6,5.2,3077,0.66,34.6,21.9,6,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
87,350,350_B22,B,46,70,24,25.4,29.8,6.1,5.2,2388,0.58,41.7,20.6,6,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
88,350,350_B23,B,70,92,22,23.3,26.9,6.3,5.3,2618,0.31,32.3,21.7,7.2,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
89,350,350_B3,BC,92,170,78,18.5,20.7,6.5,5.5,3169,0.14,15.6,26.6,9.9,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
90,350,350_C1,C,170,220,50,18.6,19.6,6.9,6,3537,0.1,12,27.2,10.4,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
91,350,350_C2,C,220,240,20,NA,18,8.2,7.1,2893,0.1,15.2,21.4,12.7,2,3,clase 5,clase 3,2.3,81.8866195679,68940.09375,254.565612793,-3.256206274,3.9059810638,0.1233916953,13.0858097076,3.0545959473,0,297.1043362238,7.8181029032,3587.9930555556,1485.7508449865,0.0370519829,-0.1359390493,0.0808649048,5420948.47799677,6275471.4780244
92,352,352_A1,A,0,26,26,NA,17.1,9.9,8.3,447,0.42,18.2,36.9,10.4,2,2,clase 3,NA,2.2,57.5623588562,54285.3515625,417.8634338379,-0.9583994746,6.405025959,0.0650293976,20.5097846985,0.2445373535,0,297.3530990868,8.0695462229,3271.3055555556,725.6028530736,-0.0752057738,-0.0799622393,0.0370079239,5433584.37800361,6283540.27801954
93,352,352_B21,B,26,56,30,NA,22,9.6,8.1,465,0.42,32.2,28.8,9.9,2,2,clase 3,NA,2.2,57.5623588562,54285.3515625,417.8634338379,-0.9583994746,6.405025959,0.0650293976,20.5097846985,0.2445373535,0,297.3530990868,8.0695462229,3271.3055555556,725.6028530736,-0.0752057738,-0.0799622393,0.0370079239,5433584.37800361,6283540.27801954
