"","id.p","CEC.A","CEC.B","CEC.C","OC.A","OC.B","OC.C","clay.A","clay.B","clay.C","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","lstm","lstsd","evim","evisd","ndwi.a","ndwi.b","ndwi.bsd","X","Y"
"91",535,22.525,32.0473684210526,22.6,1.85125,0.431315789473684,0.29,29.225,49.5894736842105,41.3,48.8568191528,35689.10546875,313.2180175781,-1.0904561281,3.864606142,0.129325673,12.4515275955,5.5808105469,0,296.6542433684,7.7600901419,3235.3541666667,1606.0690641202,0.0195787669,-0.0659126671,0.0834502343,5533033.57800396,6225672.17802536
"92",537,25.1655172413793,31.844,25.2333333333333,1.73551724137931,0.5766,0.185555555555556,25.1379310344828,41.968,20.837037037037,54.5348243713,66685.2421875,523.9422607422,5.7962837219,3.1211755276,0.1766774058,11.4102096558,9.5592308044,0,297.12605635,7.6254157955,4008.2847222222,1494.1643016497,0.0340196259,-0.0897908848,0.0643844208,5478623.97799623,6227681.5780206
"93",540,21.7,39.9428571428571,34.12,1.82,0.394285714285714,0.1,29.25,56.9904761904762,25.8,52.970615387,62472.3671875,0,0.4692079425,6.8894848824,0.0510277711,12.2111988068,0.442073822,2,296.5698089375,7.8264828295,3414.0902777778,1586.5850115219,0.0242470278,-0.1354192693,0.0522349443,5506679.67800227,6209784.57802051
"94",541,24.75,36.4064516129032,52,1.92,0.339677419354839,0.13,23,37.2774193548387,31.7,52.6885261536,62580.421875,0,-19.7666797638,6.8750905991,0.0669902861,14.590546608,0.4650001526,1.931034565,296.6564649714,7.8122396802,3753.6111111111,1797.1434758757,0.0311584935,-0.1179401574,0.0598848849,5507137.17799879,6209405.07801998
"95",543,24.0333333333333,31.9,20.1,1.57333333333333,0.36,0.21,34.9333333333333,42.6,12.6,45.3708457947,63015.40625,301.5047607422,2.8968937397,0.8142103553,0.5997120142,10.9127721786,6.9148521423,0,297.1555223423,7.9408273293,3491.7916666667,1968.3370599236,0.0137899146,-0.0643198047,0.0946987659,5478221.97799974,6232974.97802667
"96",545,22.86,33.1071428571429,26,2.188,0.362142857142857,0.05,24.16,42.7714285714286,28.6,55.2460212708,66374.6015625,30.0008449554,-8.5284881592,5.7421708107,0.0323810093,13.1291294098,1.4463539124,0.2413793057,296.682091557,7.8359834529,3178.8125,1818.1035111306,0.0412572111,-0.1420563896,0.0572174211,5501231.47800003,6208607.07801953
"97",549,24.56,32.4421052631579,32,1.456,0.396842105263158,0.13,32,44.7578947368421,29.2,49.6218681335,34653.8984375,152.974899292,-1.204510808,3.8374028206,0.0450098962,13.9990558624,6.7122001648,0,296.6022290093,7.7240141736,3597.8472222222,1702.2318189092,0.0253825815,-0.1443206688,0.0648797167,5534095.47799664,6225978.17802475
"98",550,22.5,36.2525423728814,32.5,2.04285714285714,0.506779661016949,0.15,27.1714285714286,47.7610169491525,30.2,50.8626747131,42210.421875,591.7091674805,-4.3689899445,3.4101481438,0.1339798719,11.8068647385,6.1972465515,0,296.5531955245,7.6689957998,3428.5069444444,1816.6876451255,0.0203886414,-0.1022596023,0.0980279981,5535833.97800309,6213585.97802395
"99",553,21.4,32.5,20.9,2.95,0.76,0.08,21.8,43.5666666666667,26.2,38.2853088379,57769.6328125,90.002532959,-98.0481948853,3.9646351337,0.0896897912,9.9903097153,-0.2671356201,0.0344827585,297.017849682,7.8514334663,3889.0972222222,1023.9647292292,0.0111678812,-0.0733457946,0.0473909006,5502896.87799891,6217963.37802428
"100",554,23.7,31.9047619047619,26.8,1.66111111111111,0.498571428571429,0.23,23.8111111111111,41.0547619047619,34.2,46.3644866943,58358.21484375,42.4276008606,-1.9983144999,9.73196656559594e-05,0.4572540224,9.5906152725,8.4063453674,0.1724137962,297.017849682,7.8514334663,3812.5069444444,1338.3488731438,0.0111678812,-0.0733457946,0.0473909006,5502359.37800239,6217654.87801868
