"","id.p","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf"
"2","3","A",0,12,12,17,20.8,6.4,5.5,3751,2.8,17.2,13.6,40.7
"1","3","A",12,25,13,16.2,18.4,6.9,5.7,5198,1.8,17.4,13.3,39.3
"3","3","B",35,65,30,16.8,18.3,7.5,5.9,2286,0.45,30.2,7.5,37.5
"6","3","C",130,150,20,NA,13.4,9.3,7.5,1593,0.02,12.9,7.9,47.4
"8","326","A",0,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","326","A",18,32,14,14.8,19.9,5.6,5.3,3673,1.55,23,24,6.6
"10","326","B",40,80,40,25.8,28.1,6.7,5.3,2112,0.52,42.1,21.3,4.2
"11","326","B",80,105,25,23.4,25.1,7.3,5.8,1883,0.27,28.6,25.8,7.4
"13","326","C",150,170,20,NA,21.2,8.9,7.2,1229,0.12,16.7,29.9,9.4
"15","329","A",0,23,23,13.5,16,6.3,5.2,4797,1.56,21.5,30,9.4
"18","329","B",30,64,34,22.4,27.8,6.6,4.9,2472,0.65,43.3,22.8,5.2
"17","329","B",64,100,36,20.3,24,7.1,4.9,2397,0.36,30.8,29.1,6.7
"20","329","C",155,180,25,NA,18.7,8.1,7,1845,0.1,21.8,26.6,9.6
"21","335","A",0,26,26,16.2,19,6.1,5.3,2067,1.61,23.3,31,11
"23","335","B",37,86,49,24.8,28.8,7,5.2,2445,0.61,42.9,24.1,4.9
"24","335","B",86,116,30,24.4,27.2,7.4,5.5,1881,0.34,30.7,28.6,7
"26","335","C",153,170,17,NA,19.5,8.2,7,1659,0.07,24.1,30.2,8.4
"27","337","A",0,15,15,12.3,16.3,6.5,5.1,2865,1.62,16.4,38.9,8.6
"28","337","B",15,60,45,23.3,23.7,8.8,6.6,471,0.89,46,19.4,6.3
"29","337","B",60,106,46,NA,19.4,9.6,7.6,508,0.26,39.4,25.9,9
"31","337","C",180,200,20,NA,21.7,9.4,7.5,775,0.07,25.3,27.7,10.8
"32","342","A",0,20,20,17.7,23.9,6.1,5.7,5596,1.94,26.9,27.3,5.6
"33","342","A",20,29,9,17.6,23.4,5.8,5.4,4103,1.52,27.6,27.3,5
"36","342","B",39,76,37,23.6,29,6.3,5.3,2238,0.53,42.5,20.3,5.1
"35","342","B",76,110,34,24.9,29.6,6.4,5.4,2282,0.36,33,25.3,4.1
"39","342","C",170,215,45,NA,19.8,7.6,6.7,2677,0.12,16.3,26.9,10.1
"38","342","C",215,235,20,NA,20.1,8.1,7.3,3467,0.12,15.7,25.4,9.5
"41","347","A",0,14,14,15.9,22.3,5.4,5.1,1492,1.95,22.2,27.9,5.3
"40","347","A",14,24,10,15.1,21.9,5.2,4.8,2458,1.62,23.7,28,4.9
"42","347","B",32,56,24,26.9,32.9,6.2,5.4,1799,0.61,49.2,18.7,6.2
"43","347","B",56,95,39,25.6,29.6,6.9,5.9,2063,0.29,24.9,29.5,8.3
"45","347","C",180,200,20,NA,26.8,8.1,7,1891,0.12,12,35.1,3.4
"48","348","A",0,13,13,17.4,24,5.6,5.3,1760,1.77,26.5,28,4.4
"47","348","A",13,25,12,15.9,22.5,5.6,5.2,2725,1.43,28.2,27.1,5.4
"50","348","B",33,76,43,25.7,32.2,6.1,4.9,2461,0.5,43.8,24.2,3.9
"51","348","B",76,112,36,26.3,31.4,6.5,5.2,2282,0.29,34.9,25.8,3.6
"53","348","C",168,188,20,20.4,20.9,7,5.6,3446,0.07,13.7,29.5,6
"55","350","A",0,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","350","A",13,25,12,16.8,21.5,5.7,5.5,4498,1.89,23,26.5,5.8
"57","350","B",33,46,13,18.3,22.3,6,5.2,3077,0.66,34.6,21.9,6
"58","350","B",46,70,24,25.4,29.8,6.1,5.2,2388,0.58,41.7,20.6,6
"59","350","B",70,92,22,23.3,26.9,6.3,5.3,2618,0.31,32.3,21.7,7.2
"61","350","C",170,220,50,18.6,19.6,6.9,6,3537,0.1,12,27.2,10.4
"62","350","C",220,240,20,NA,18,8.2,7.1,2893,0.1,15.2,21.4,12.7
"63","352","A",0,26,26,NA,17.1,9.9,8.3,447,0.42,18.2,36.9,10.4
"64","352","B",26,56,30,NA,22,9.6,8.1,465,0.42,32.2,28.8,9.9
"65","352","B",56,77,21,NA,21.7,9.6,7.6,537,0.2,35.2,31.4,7.7
"14","352","BC",77,150,73,NA,15.2,9.4,7.1,1109,0.14,21.4,29.5,8.8
"67","355","A",0,25,25,13.4,17.3,6,5.1,NA,1.45,22,32.1,7.2
"70","355","B",33,73,40,26.5,31.6,6.8,5.3,NA,0.57,47,23.1,5.1
"69","355","B",73,95,22,24.2,27.7,7,5.3,NA,0.37,34.7,29.5,6.1
"72","355","C",160,195,35,NA,15.3,8.2,7.3,NA,0.11,19.2,30.5,10
"73","356","A",0,18,18,14.6,16.4,6.8,6.1,555,NA,17.2,31.8,8.4
"74","356","B",18,32,14,NA,20.1,9,8,209,NA,15.5,32.6,8.1
"75","356","B",32,54,22,NA,38.5,8.9,7.9,154,NA,31.4,29.4,3.7
"68","356","BC",54,74,20,NA,35.1,8.9,7.7,222,NA,28.7,28.7,5
"77","358","A",0,14,14,19,22.9,6.2,5.3,3000,1.56,24.5,34.1,6.2
"78","358","A",14,20,6,19,24,6.2,4.9,4935,1.37,28.4,33.5,5.1
"80","358","B",30,72,42,37.5,40.9,6.6,4.9,1303,0.5,49.5,26.3,4.3
"81","358","B",72,104,32,34,37.5,7.1,5.3,1339,0.17,40.2,28.7,3.8
"12","358","BC",154,200,46,NA,43.6,8.1,6.8,1265,0.1,35.2,32.4,2.6
"84","359","A",0,23,23,17.8,23.4,5.3,4.9,1744,1.84,35,28.8,4
"85","359","B",23,60,37,32.6,34.9,6.6,5.5,1744,0.66,58.3,16.2,3.1
"86","359","B",60,97,37,35,36.4,6.8,5.9,1657,0.37,55.8,18.3,3.1
"152","359","BC",97,120,23,NA,34.4,7.7,6.9,1526,0.21,45,24,2.1
"88","360","A",0,18,18,NA,13.8,9.2,7.8,895,0.78,14.2,35.7,6.1
"90","360","B",18,35,17,NA,29.8,9.5,8.1,411,0.41,36.8,23.2,4.1
"89","360","B",35,65,30,NA,28.6,9.5,8,403,0.35,42.7,21.6,3.6
"92","360","C",130,150,20,NA,31.9,8.8,7.3,895,0.1,25.6,34.2,4.3
"97","363","A",42,60,18,NA,22,8.7,7.5,1165,0.64,24.6,34.1,3.3
"98","363","A",60,84,24,NA,22,8.5,7.3,1831,0.64,27.7,33.2,3.1
"99","363","B",84,104,20,NA,24.3,8.2,7,1290,0.29,39.6,22.1,4.2
"103","364","A",0,14,14,19,24.9,5,4.7,2387,2.81,34.8,34.8,5.5
"104","364","B",14,32,18,17.5,20.1,6.1,5.3,2136,1.03,28.4,27.4,5.4
"105","364","B",32,70,38,24.4,24.4,7.8,6.6,1424,0.55,36.9,23.3,5.4
"107","364","C",130,150,20,22.1,23,7.8,6.6,2555,0.14,15,36.6,6.2
"108","365","A",0,26,26,17,21.6,5.7,5.1,4142,1.85,27.2,29.3,4.9
"111","365","B",39,80,41,28.4,32.9,6.2,5,2126,0.75,51.9,19.7,3.1
"112","365","B",80,120,40,26.6,29.3,6.5,5.3,2126,0.35,36.7,29.5,3.7
"110","365","B",120,140,20,30.7,31.6,6.9,5.6,1982,0.3,42.8,23.4,4.3
"114","365","C",185,205,20,NA,30.1,8.1,7.2,1698,0.16,28.6,27.6,2.4
"115","366","A",0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","366","A",6,14,8,NA,20.2,9.4,8.1,773,0.6,18.2,28.8,5.2
"117","366","B",23,76,53,NA,34.2,9.3,8,670,0.24,46,17,3.5
"119","366","C",120,140,20,NA,22.9,8.8,7.6,1591,0.12,16.7,24.3,7.8
"121","367","A",0,20,20,9.5,11.2,6.9,5.9,5698,0.66,13.4,39.7,6.2
"123","367","B",30,80,50,NA,27.3,8.7,7,1035,0.42,37.6,20.6,5.8
"122","367","B",80,115,35,NA,31.3,9,7.4,907,0.26,40.7,19.1,5.3
"22","367","BC",115,135,20,NA,22.9,8.7,7.4,1360,0.21,NA,NA,NA
"126","368","A",0,12,12,14.9,18.8,5.5,5.1,3532,1.54,20.3,33.7,5.6
"127","368","A",12,24,12,14.9,18.9,5.6,5.2,5234,1.47,22.9,31.7,5.6
"129","368","B",32,70,38,24.9,28.9,6,5.1,2311,0.64,46.2,18.3,5.4
"130","368","B",70,125,55,22.7,25.1,6.2,5.2,2442,0.34,37.2,18.6,7.3
"132","368","C",180,200,20,NA,26.6,7.9,7.1,1831,0.17,25.1,28.6,4.4
"133","369","A",0,17,17,18.3,19.6,6,5,3450,1.6,21.9,25.8,19
"134","369","A",17,24,7,19.7,21.1,6,5,3215,1.45,25.3,24.8,18.6
"136","369","B",24,47,23,32.2,35.6,6,4.5,1714,0.6,44.5,23.7,10.6
"135","369","B",47,72,25,27,28.7,6.2,4.7,1983,0.4,36.4,25.3,14.7
"138","369","C",110,188,78,21.7,22.2,6.5,4.9,3250,0.15,27.4,22.4,18.5
"139","369","C",188,200,12,NA,27.2,7.9,6.8,2340,0.13,16.3,27.8,18.4
"140","370","A",0,14,14,19.1,21.8,6,5.1,4118,1.83,22.9,30.4,10.9
"141","370","A",14,30,16,19.5,22.6,6.2,4.9,4118,1.43,26,30.7,9.9
"143","370","B",30,65,35,29,32.2,6.7,5,1790,0.76,42.7,25.5,10.8
"142","370","B",65,97,32,29.1,29.9,7.1,5.2,2024,0.5,30.7,26.5,15.5
"146","370","C",168,200,32,NA,42.2,8,6.4,1885,0.06,23.6,42.5,3.5
"148","371","A",0,12,12,21.7,26.6,6.9,5.9,2824,2.2,26.7,35.8,7.5
"147","371","A",12,32,20,22.7,25.3,6.9,5.7,3210,1.82,31,35.4,4.5
"150","371","B",41,80,39,30.8,33.4,7.2,5,1499,0.51,51.7,24,3.9
"151","371","B",80,110,30,28.8,29.8,7.5,5.4,1554,0.33,34.7,35,4.6
"315","371","BC",180,210,30,NA,45.7,8.5,7.1,1692,0.13,30.5,29.9,4.4
"156","372","A",0,15,15,16.7,18.6,6.4,5.2,4360,1.7,25.1,38.4,5.8
"155","372","A",15,28,13,18.5,20.8,6.5,5.1,4360,1.33,31.7,34.4,4.4
"159","372","B",38,75,37,32.8,36.9,6.7,4.9,1518,0.6,53.6,23,4.6
"158","372","B",75,107,32,34,34.9,7.7,6.3,1046,0.3,46.4,26.3,4.7
"364","372","BC",107,130,23,31.1,31.9,7.4,5.3,1518,0.22,44.1,25.8,4.5
"162","379","A",0,16,16,21.8,19.1,8,6.6,767,NA,NA,NA,NA
"163","379","B",16,48,32,NA,20.2,9.4,7.7,441,NA,NA,NA,NA
"164","379","B",48,80,32,NA,30.6,9.6,7.7,383,0.19,49.1,18.9,4.3
"166","379","C",160,180,20,27.3,23,9.2,6.8,843,0.07,28.2,32.3,6.5
"167","380","A",0,13,13,13.8,17.5,5.3,5,2000,1.41,18.1,36.2,5.8
"168","380","A",13,23,10,13.9,17.5,5.3,4.9,2204,1.39,20.2,32.4,5.9
"171","380","B",32,62,30,21,23.7,6.2,5.2,2531,0.71,37.7,22.9,5.5
"170","380","B",62,105,43,27.8,29,6.9,5.8,1997,0.39,44.4,20.4,5.5
"173","380","C",170,190,20,NA,22.1,8,6.7,2289,0.1,18.7,29.3,6.7
"174","389","A",0,20,20,NA,33.7,9.3,8,583,0.22,49.2,14.6,3.5
"175","389","B",20,72,52,NA,26.1,9.2,7.8,749,0.4,35.2,23.7,4.7
"176","389","B",72,104,32,9.4,11.5,6.7,5.6,2622,0.76,20.4,31.9,5.7
"178","389","C",170,190,20,28,28.3,8.4,6.9,1207,0.16,22.2,31.3,5.2
"179","390","A",0,10,10,13.8,17.5,5.4,5.1,1592,1.58,21.6,33.3,5.9
"180","390","A",10,27,17,14.1,18.2,5.2,4.8,3797,1.11,28.5,29.5,5.3
"182","390","B",45,78,33,26.5,30.3,5.6,4.7,2366,0.6,47.6,19.6,4.8
"183","390","B",78,108,30,22.9,26.4,5.9,4.9,2572,0.37,33.1,27.6,5.6
"187","390","C",180,215,35,22.4,24.2,6.4,5.2,2164,0.17,18.1,30.2,7.8
"186","390","C",215,235,20,NA,25.4,8.1,7.2,1551,0.14,17.5,27,2
"189","392","A",0,15,15,15.2,20.4,5.3,5,2444,1.45,22.7,29.2,4.1
"188","392","A",15,31,16,17.1,21.9,5.3,5,3595,1.38,26.7,35.5,3.6
"192","392","B",43,80,37,29.7,34,6,5.1,1917,0.56,49.8,19.3,3.7
"191","392","B",80,108,28,26.4,29.6,6.2,5.2,2151,0.28,43.1,21.8,5.5
"194","392","C",185,205,20,25.4,27.6,6.3,5.3,2194,0.15,27.1,29.2,6.1
"196","397","A",0,12,12,15.1,18.6,5.4,5.1,2723,1.26,19.2,38,3.2
"195","397","A",12,26,14,15.5,19.3,5.6,5.1,3476,1.26,28.8,30.4,3.5
"199","397","B",35,70,35,30.7,34.1,6.1,5.2,1928,0.54,52.7,16.2,2.5
"198","397","B",70,92,22,27.6,30.8,6.5,5.5,1928,0.33,40.2,23.1,4
"201","397","C",145,165,20,NA,22.6,8.1,7,2066,0.16,18.1,25.6,4.2
"202","404","A",0,20,20,NA,32.8,9.5,8.1,358,0.75,25.3,30.2,10.5
"204","404","B",20,40,20,NA,52.4,9.4,7.8,304,0.33,59,13.7,4.8
"203","404","B",40,65,25,NA,46.5,9.1,7.3,519,0.23,35.7,21.3,8
"205","407","A",0,17,17,23.9,25.4,6.6,5.8,2066,2.2,24,26.2,11
"208","407","B",34,63,29,30.4,33.9,6.5,4.7,1783,0.56,38.4,28.3,5.5
"207","407","B",63,84,21,26.8,28.2,6.8,4.8,1918,0.23,34,27.2,6.3
"211","407","C",165,200,35,NA,32.4,8.2,6.7,2391,0.11,21.4,31.1,6.9
"212","408","A",0,8,8,18.6,21.8,5.8,5.3,2939,1.16,31,25.3,6.2
"215","408","B",17,50,33,28.8,32.1,6.6,5.7,1882,0.6,41.1,22.1,4.1
"214","408","B",50,79,29,25.7,28.2,7,6,2020,0.36,24,35,4.5
"217","408","C",140,160,20,NA,25.8,8.1,7.1,1882,0.12,24.1,29.1,2.9
"219","412","A",0,11,11,13.3,17.3,5.1,5,1512,1.37,18.5,23.6,9.4
"218","412","A",11,22,11,14.8,18.3,5.4,5,3846,1.13,23.6,21.6,8.6
"221","412","B",35,78,43,22.1,23.5,6.3,5.4,2436,0.24,30.6,21.4,6.7
"222","412","B",78,100,22,22.9,26.7,5.8,5,2350,0.56,42.2,17.1,5.9
"224","412","C",162,182,20,NA,20.9,8.1,7.2,2820,0.08,12.6,23.2,9.2
"225","413","A",0,16,16,16.2,19.4,5.4,5.2,2350,1.57,27.8,28.3,4.8
"226","413","A",16,40,24,15.4,19.3,5,4.9,3932,1.39,28.9,29.4,4.8
"228","413","B",64,82,18,13.9,17.6,5.5,4.8,4487,0.38,30.9,23.2,7.1
"229","413","B",82,132,50,19.2,23.3,6,4.8,2991,0.32,38.4,17.7,7.7
"230","413","B",132,185,53,19.5,22.3,6.1,5,2863,0.21,31.6,24.5,7.2
"232","413","C",230,250,20,17.3,19.1,6.2,4.8,3624,0.08,12.1,24.1,8
"234","414","A",0,13,13,15.7,19.2,5.6,5.2,1538,1.86,22.5,27,7.3
"233","414","A",13,25,12,14.4,18.8,5.4,4.9,4701,1.18,28.7,26.6,6
"237","414","B",38,75,37,21.4,25.5,6,4.9,2820,0.62,40.5,17.4,6.2
"236","414","B",75,100,25,22.9,26.4,6.2,5,2778,0.45,42.1,17.2,6.2
"421","414","BC",100,132,32,23.9,26.2,6.3,5.1,2479,0.25,27.7,25.2,5.3
"240","417","A",0,20,20,21.1,16.7,8.6,7,1840,NA,NA,NA,NA
"241","417","B",20,43,23,31.5,28.2,9.2,7.4,1169,NA,NA,NA,NA
"242","417","B",43,58,15,38.2,36.5,8.9,7.1,1015,0.31,59.3,17.4,3.6
"473","417","BC",58,75,17,35.3,33.7,8.4,6.5,1246,0.13,39.9,31.9,3.9
"250","419","A",0,21,21,14.5,17.8,5.5,5.2,2161,1.42,22.1,30.2,5.7
"252","419","B",29,63,34,34.6,36.1,7.5,6.2,1332,0.59,55.4,16.9,3
"253","419","B",63,95,32,NA,35.4,7.9,6.7,1207,0.46,48.7,19.1,2.9
"531","419","BC",95,100,5,NA,34.1,7.9,6.7,1207,0.19,49,21.5,2.2
"255","420","A",0,27,27,16.1,20.1,5.4,5.1,2289,1.75,22.2,31.2,4.6
"258","420","B",38,84,46,31.4,35.5,5.3,5.2,1956,0.58,55.9,19.8,3.3
"257","420","B",84,115,31,26,30.1,6.5,5.4,2161,0.25,38.6,25.4,5.1
"260","420","C",190,210,20,NA,27.4,7.4,6.6,1873,0.16,26.6,27.6,4.8
"261","421","A",0,18,18,18.8,16.4,9.5,7.7,920,NA,NA,NA,NA
"263","421","B",18,46,28,NA,29.4,9.7,7.8,4.6,NA,NA,NA,NA
"262","421","B",46,72,26,NA,33.6,9.2,7.5,6.12,0.27,54,22.9,3.5
"551","421","BC",72,92,20,32.1,28,8.9,7,1000,0.12,31.2,33.1,5.5
"265","422","A",0,18,18,21.41,23,8.9,NA,NA,0.45,15.75,38.2,9.25
"266","422","B",18,50,32,20.88,23.5,9,NA,NA,0.37,24.4,39.15,6.7
"267","422","B",50,75,25,25.95,32.5,9,NA,NA,0.14,38.45,29.8,5.4
"591","422","BC",75,100,25,24.84,32,9,NA,NA,0.09,31.8,33.8,5.65
"271","425","A",0,16,16,18.3,22.1,5.9,4.7,5603,1.73,20.7,18.7,35.8
"270","425","A",16,23,7,18,19.1,6.3,4.8,5942,1.15,22.7,15.9,36
"272","425","B",23,31,8,18.9,20.4,6.3,4.7,5942,0.9,24.4,14.3,37.4
"273","425","B",31,53,22,18.3,20.4,6.4,4.7,5603,0.53,25.6,11.1,39.3
"275","425","C",94,114,20,15.3,14.3,6.8,4.9,6961,0.2,14.2,13.6,45.9
"277","426","A",0,17,17,17.6,20.1,5.8,4.6,5263,1.9,20.4,16.6,34
"276","426","A",17,30,13,18.6,20.8,5.7,4.6,4583,1.44,23.5,17.2,36.4
"278","426","A",30,40,10,17.5,18.8,6.2,4.6,6114,0.87,23.1,14,39.7
"279","426","B",40,63,23,17.2,18.8,6.2,4.6,4755,0.62,24.2,13.6,38.7
"281","426","C",95,115,20,14.3,14.1,6.8,4.9,6114,0.19,13.6,11.8,46.5
"282","430","A",0,18,18,17.3,20.1,5.7,5,2647,1.69,21.6,17.9,34.9
"283","430","A",18,30,12,16.1,18.5,5.7,5.3,2358,1.14,21.8,14.3,34.5
"284","430","B",30,52,22,17,19,6.1,5,3801,0.64,27.4,13,32.5
"286","430","C",100,120,20,13.4,14.4,6.6,5.2,5532,0.2,17.7,10.2,31.2
"287","431","A",0,20,20,20.3,22.7,5.8,5.3,1973,2.43,26.8,18.2,17
"288","431","A",20,29,9,18.6,20.6,6,5.3,3464,1.7,23.5,22.5,17
"290","431","B",50,76,26,20,22,7.4,5.6,2382,0.48,29,19.5,23
"289","431","B",76,107,31,22,23,7.8,6,1563,0.29,26,20,30.6
"66","431","BC",107,130,23,NA,20.2,8.6,6.7,1443,0.06,20,19.5,32.3
"294","432","A",0,17,17,18,20.3,5.7,5,2794,1.9,22.4,18.8,27.7
"293","432","A",17,28,11,17.7,20,5.7,5,3459,1.78,21.8,20.8,27
"296","432","B",36,60,24,16.3,18.7,6.1,4.9,4213,0.63,25,13.5,23.8
"298","432","C",120,190,70,13.6,14.4,6.8,5.2,5543,0.14,12.2,11.7,25.1
"299","433","B",14,48,34,NA,27.4,9.9,7.7,468,0.39,38.8,24.9,13.2
"300","433","B",48,80,32,NA,32.6,10,7.6,377,0.25,39.1,23.1,14.9
"304","441","A",0,16,16,20,25.7,6.7,5.4,4782,2.18,26.5,28.2,16.7
"303","441","A",16,23,7,17.6,20.6,7,5.4,5602,1.29,29.3,25.3,16
"307","441","B",34,52,18,20.1,21.9,7,5.3,2581,0.63,38.6,21.2,15.8
"306","441","B",52,74,22,22.6,24.2,7.6,5.4,2541,0.44,37.8,16.7,21.4
"310","441","C",115,135,20,16.9,16.2,7.4,5.6,4113,NA,20.2,18.2,28.1
"311","445","A",0,12,12,13.9,18.6,5.5,4.8,4531,1.69,22.3,16.5,15.8
"312","445","A",12,31,19,14,17.3,5.6,4.8,4678,1.5,23,14.5,15.2
"314","445","B",49,69,20,21.2,25.1,6.3,4.7,2680,0.38,32,13,14.4
"313","445","B",69,95,26,17.3,20.9,6.5,4.7,3411,0.25,27.5,10.5,18.4
"317","445","C",124,140,16,17.4,19.1,6.9,5.1,3327,0.14,19.5,16.2,21.3
"316","445","C",140,160,20,NA,17.9,8.3,7,3327,0.11,9,23.5,25.2
"319","447","A",0,14,14,17.9,22.1,5.4,4.8,4752,2.05,25.8,16.7,18.1
"320","447","A",14,28,14,16.4,20.6,5.8,4.9,5942,1.28,26.7,14.9,19.7
"323","447","B",40,63,23,17.4,20.4,6.3,4.9,3849,0.54,31.8,17.7,21.1
"322","447","B",63,93,30,17.3,19,6.4,4.9,3849,0.35,28.3,17,23.9
"325","447","C",130,150,20,14.4,14.8,6.8,5.1,6416,0.06,9.1,14,37.1
"327","448","A",0,14,14,23.2,24.9,6.1,5.4,2946,2.84,27.5,23,13.4
"326","448","A",14,29,15,18.8,21.4,5.8,4.9,5227,1.71,31.4,22.5,15.3
"330","448","B",40,75,35,18.9,21.5,6,4.7,4186,0.67,37.2,19.4,15.6
"329","448","B",75,110,35,19.1,22.6,6,4.6,3176,0.48,29,21,20.6
"332","448","C",140,160,20,15.3,16.1,6.6,4.7,5532,0.15,10.1,21.9,32.4
"333","457","A",0,19,19,18.3,20.6,5.9,4.9,1773,1.92,22.7,14.1,17.1
"335","457","B",28,59,31,20.3,23.1,6.2,4.9,2414,0.47,30,14.2,15.4
"338","457","C",98,172,74,15.2,16.3,6.9,5.1,5842,0.12,15.4,13.4,20.6
"340","463","A",0,13,13,16.4,18,6.3,5.4,3121,1.83,18.3,14.9,44.5
"339","463","A",13,28,15,14.9,17,6.5,5.5,3409,1.62,20.9,11.9,44.5
"341","463","B",28,59,31,15.1,15.8,7,5.5,5170,0.53,21.3,11.2,46.7
"343","463","C",90,110,20,12.2,11.9,7.5,5.9,6894,0.07,14.3,10.1,52.5
"344","464","A",0,15,15,14,17.3,6.2,5.2,3638,1.95,20,15.9,37.5
"345","464","A",15,23,8,14.1,17.9,6.1,5.2,3179,1.76,21,17.4,34.8
"346","464","B",23,56,33,14.7,17.3,7,5.5,3715,0.61,27.1,12.6,36.1
"349","464","C",95,150,55,12.3,13.4,7.7,5.8,5362,0.25,19,13.2,43
"348","464","C",150,170,20,14.5,13.9,7.4,5.8,6128,0.11,19.1,11.2,42.2
"351","465","A",0,15,15,16.9,23.3,6.1,5,2614,2.55,22.5,19.3,35.3
"350","465","A",15,28,13,16.6,19.5,6.8,5.5,3940,1.54,25,19.9,30.9
"352","465","B",28,48,20,16.4,17.4,7,5.5,3644,0.72,25.5,16.4,35.3
"353","465","B",48,72,24,14.8,16.4,7.2,5.7,3704,0.38,23.4,14.8,38.7
"355","465","C",135,155,20,13.8,14.4,7.8,5.7,5910,NA,18.1,11.5,44
"356","467","A",0,15,15,21.4,28.6,6.3,5.1,3664,2.77,28.1,22.8,26.2
"357","467","A",15,32,17,21.4,26.4,6.2,5.1,4531,2.25,27.6,23.4,26.2
"359","467","B",32,55,23,15.6,19.3,6.5,5.2,4928,0.62,29.1,17.2,31.6
"358","467","B",55,75,20,15.2,19.2,6.9,5.2,5516,0.25,28.3,15.9,33.1
"361","467","C",140,160,20,13.2,14.8,7.5,5.6,7486,0.11,17.7,10.6,43.3
"362","469","A",0,14,14,17.3,21.2,5.5,5.1,2.375,2.01,22.9,14.3,21.5
"363","469","A",14,25,11,16.4,19.2,5.9,4.8,4.868,1.02,22.4,13.3,24.2
"365","469","B",34,58,24,16.1,18.9,6.3,5.1,4.089,0.42,25,10.2,24.2
"367","469","C",79,99,20,14.6,16.2,6.5,5.2,5.452,0.22,22.1,9.3,26.2
"369","470","A",0,14,14,14.2,15.9,6.3,5.4,2482,2.06,19.4,17.5,35.6
"368","470","A",14,24,10,12.9,16,6.5,5.3,7486,1.28,22.3,17.7,33.1
"372","470","B",34,52,18,17.6,19.9,6.9,5.4,4334,0.41,31.4,15.5,31.4
"371","470","B",52,73,21,16.3,17.9,7.3,5.5,4728,0.4,30.3,12,29.9
"374","470","C",116,136,20,15,14,8.9,6.5,3743,0.1,16.5,12.4,41.5
"376","471","A",0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","471","A",12,25,13,16.2,20.2,6.1,5.1,3191,2.16,22.7,20.8,29.2
"378","471","B",31,50,19,17.1,19.1,7,5.3,4334,0.86,31.6,15.2,27.7
"379","471","B",50,86,36,15,16.1,7,5.5,5319,0.4,26.3,14.6,33.6
"381","471","C",127,147,20,15.4,13.4,7.4,6,2679,0.09,19,12.4,37.7
"382","472","A",0,21,21,15.8,21.2,6,5.1,2167,2.26,24,19.5,29.5
"383","472","A",21,31,10,15.3,19.2,6.3,5.1,4925,1.61,25.2,15.4,31.2
"385","472","B",39,74,35,15,18.3,6.7,5.2,4925,0.65,31,12.1,31.1
"387","472","C",112,132,20,12.4,13.7,7.1,5.5,5516,0.06,18.5,13.5,40
"388","476","A",0,13,13,16,18.1,6,5.2,3838,1.77,22.9,20.4,26.8
"389","476","A",13,26,13,16.6,18.4,6,5.3,3798,1.77,23.7,17.9,28.6
"392","476","B",36,62,26,17.6,20.5,6.9,5.3,3798,0.44,35.5,13.4,24.4
"391","476","B",62,78,16,17.7,18.7,6.7,5.4,4448,0.33,27.8,13.9,29.2
"394","476","C",115,235,120,13.6,12.5,7.2,5.5,6666,0.13,14.4,13.4,37.3
"395","476","C",235,275,40,NA,8.2,8.4,7.3,4646,NA,12.3,12.9,31.1
"396","477","A",0,23,23,17.3,23.2,5.4,4.5,3310,2.15,24.6,22,18
"397","477","A",23,33,10,14.1,17.7,5.6,4.5,5062,1.03,23.6,19,17.4
"400","477","B",43,67,24,20.1,22,6.6,4.8,2694,0.52,35,19,16.7
"399","477","B",67,100,33,25.9,27.7,6.8,4.9,2026,0.38,29,20.3,13.8
"402","477","C",118,150,32,19.6,19.3,8.5,6,747,0.11,6.1,17.3,31.1
"404","478","A",0,12,12,20.1,24.7,5.7,5.1,2146,2.61,24.4,23.3,15.9
"403","478","A",12,26,14,17.6,20.9,5.9,4.9,4254,1.62,24.2,22.7,14.5
"406","478","B",37,65,28,22.7,25,6.4,4.7,2876,0.6,33.8,20.7,11.3
"407","478","B",65,93,28,22,23.8,6.5,4.6,2755,0.39,27.4,20,21.4
"409","478","C",118,150,32,18.8,20.2,7,5.2,4147,0.21,11.9,22.8,18.9
"410","479","A",0,13,13,20.4,22.8,6,5.3,2489,2.32,19.3,22.4,21.1
"411","479","A",13,32,19,16.9,19.2,6.2,5.1,4902,1.55,18.9,23.3,24.4
"413","479","B",46,73,27,22.2,23.2,6.4,4.8,3432,0.52,27.8,14.5,19.9
"416","479","C",100,180,80,NA,17.5,9.3,6.3,1815,0.21,NA,NA,NA
"418","480","A",0,14,14,21.6,24,5.5,4.8,3055,2.12,22.5,19.4,18.5
"417","480","A",14,29,15,19.7,22.7,5.7,4.8,5279,1.66,24.2,21.1,19.2
"420","480","B",44,70,26,20.4,21.8,6.7,4.8,3401,0.49,28.4,18.3,16.3
"422","480","C",100,150,50,19.5,19.6,7.1,5.3,4777,0.19,14,19.7,22.7
"424","481","A",0,14,14,18.8,25.6,4.8,4.2,1796,2.88,24.1,29.1,10.9
"423","481","A",14,29,15,17,20.4,5.7,4.6,4204,1.37,22,25.6,13
