"","id.p","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf"
"1718","741","C",151,230,79,NA,17.1,7.1,5.6,4944,0.13,23.7,23.5,15.5
"1719","741","C",230,275,45,NA,12.6,8.2,7.1,2266,NA,16.6,33.5,11.9
"1720","742","A",0,20,20,14.5,16.5,6.6,5.3,4944,1.83,22.5,31,12.8
"1722","742","B",27,55,28,NA,27.5,8.9,6.9,721,0.54,45.7,25,7.4
"1721","742","B",55,80,25,NA,27.2,9,7.2,453,0.38,28,30.4,10.4
"1724","742","C",130,175,45,NA,21.6,9.3,7.4,906,NA,20.6,37.9,8.8
"1726","743","A",0,16,16,15,20.3,6.1,5,5460,2.12,24.9,27.7,14.3
"1727","743","A",16,27,11,15.3,18.9,6.3,5.1,5460,1.79,25.7,27.3,13.3
"1728","743","B",41,52,11,15.3,17.1,7.3,5.6,3822,0.62,29,22.6,14.3
"1729","743","B",52,92,40,20.4,23.5,7.7,5.7,2439,0.58,33.1,22.2,13.9
"1731","743","C",135,150,15,NA,16.9,8.9,7.1,637,0.05,17.9,27.5,14.4
"1733","744","A",0,24,24,14.4,18.4,6.7,5.4,NA,1.97,20.1,38.8,13.3
"1735","744","B",30,60,30,NA,21.8,8.9,7.1,NA,0.4,27.8,36,13.4
"1738","744","C",130,150,20,NA,21,8.8,7,NA,0.03,24.1,24.4,22.6
"1739","745","A",0,14,14,21.3,24.2,6.8,5.8,3325,2.65,23.2,28.2,11.2
"1740","745","B",45,66,21,24.2,29.4,6.8,4.8,2043,0.51,47.4,20,7.6
"1741","745","B",66,110,44,22.4,26.3,6.2,5,2242,0.3,36.6,20.8,10.4
"1743","745","C",190,210,20,NA,48.5,8.2,7.1,1341,0.08,35.7,37,7.9
"1746","746","A",0,15,15,20.6,22,6,5.3,NA,2.1,25.7,29.6,14.4
"1747","746","A",15,25,10,20.8,21.9,6.4,5.3,NA,1.6,26.5,31,13.8
"1750","746","B",33,69,36,35,40.6,6.4,5.2,NA,0.8,57.7,16.5,5.8
"1749","746","B",69,98,29,27.8,31.6,6.8,5.1,NA,0.35,40.6,25.2,7.9
"1753","746","C",200,220,20,NA,NA,8.2,7.1,NA,0.3,18.6,36.7,8.8
"1754","747","A",0,24,24,21.3,25.6,5.5,4.9,2020,2.63,26.2,19.6,12.2
"1757","747","B",36,60,24,23,26,6,4.7,3044,0.65,39.3,18.6,7.1
"1756","747","B",60,80,20,21,23.9,6.2,4.7,2751,0.34,31.5,22.4,15.7
"1759","747","C",135,155,20,19.3,21,6.8,5.2,3524,0.05,11.7,30.9,11.1
"1760","749","A",0,12,12,NA,NA,9.4,7.9,953,0.89,16.6,26.2,11.8
"1761","749","B",12,44,32,NA,NA,9.3,7.9,406,0.54,36.4,26.8,5.9
"1762","749","B",44,90,46,NA,NA,8.9,7.3,1020,0.21,20.9,28.5,10.8
"1764","749","C",150,170,20,NA,NA,8.6,7.1,2040,0.11,14.5,23.9,13.7
"1765","750","A",0,28,28,14.7,17.2,6.3,5.2,6712,2.03,22.3,11.4,9.6
"1766","750","B",36,62,26,27.2,28.4,8.5,6.3,5652,0.46,41.5,26.8,7.9
"1767","750","B",62,105,43,NA,29.3,8.6,6.4,8125,0.27,32.8,30.7,11
"1769","750","C",135,155,20,NA,24.7,8.5,6.5,7065,0.05,25.2,30.1,9.1
"1771","751","A",0,17,17,22.9,22.2,8.7,6.8,1303,0.69,22.9,29.9,10.8
"1773","751","B",17,40,23,36.3,39.2,9.7,7.9,444,0.59,50.3,20.2,7.7
"1772","751","B",40,68,28,38.6,38.4,9.7,7.8,496,0.59,46.6,29,5.6
"1774","751","B",68,110,42,34.1,31.7,9.5,7.3,643,0.38,41.5,25.9,8.5
"1776","751","C",150,170,20,25.4,24.2,9.1,6.8,1536,0.14,29.6,24.8,16.1
"1777","752","A",0,27,27,22.2,25.6,6.4,5.4,3137,2.49,27.8,29,12.8
"1781","752","B",52,86,34,27.8,30.8,7,5,1566,0.41,39.7,32,6.3
"1780","752","B",86,133,47,24,25.1,7.4,5.4,1702,0.29,39.2,23.8,8.8
"1784","752","C",170,190,20,23.7,20.7,8.5,6.3,2092,0.07,20.6,24,15.7
"1786","753","A",0,12,12,20.1,22.8,5.9,5.1,3109,2.01,28.3,30.8,11.3
"1785","753","A",12,19,7,19.4,21.3,5.9,5,3969,1.96,25.1,33.8,11.7
"1788","753","B",25,49,24,19.6,21.5,6.6,4.9,3011,0.41,41.9,21.8,10.2
"1789","753","B",49,106,57,31.8,34.7,6.6,4.7,2133,0.31,46.1,21,8
"1791","753","C",170,190,20,NA,39.6,8,6.6,1322,0.08,33.8,24.7,9.3
"1792","754","A",0,18,18,18.9,22.6,6.1,5.2,3189,2.14,23.5,30.9,11.7
"1793","754","A",18,30,12,17.6,21,6.5,5.4,3292,1.95,23.1,29.4,12.6
"1795","754","B",48,80,32,31.2,32.2,7.2,5.8,1353,0.25,49,21.2,10.4
"1794","754","B",80,110,30,29,28.9,7.5,6.1,1578,0.24,34.6,25.7,13
"1797","754","C",180,200,20,NA,27.3,8.1,7.4,1560,0.06,NA,NA,NA
"1799","755","A",0,14,14,18.8,19.6,8.6,6.9,1371,1.61,18,30.3,16.8
"1800","755","B",14,43,29,NA,46.1,9.5,7.9,511,0.76,56.9,13.8,6.8
"1801","755","B",43,68,25,NA,37.3,9.5,7.6,808,0.34,34.3,28.2,10.6
"2121","755","BC",68,115,47,28.6,27,9.1,7.2,1435,0.22,19.2,24.2,22.5
"1804","756","A",0,20,20,11.6,16.1,6.2,5.1,11613,1.6,21.8,35.4,15.6
"1806","756","B",28,50,22,20.3,21.5,7.3,6.6,2919,0.5,32.8,27.6,13.1
"1805","756","B",50,73,23,NA,28.8,8,6.1,2544,0.27,35.4,31.8,16.1
"1809","756","C",135,150,15,NA,19.6,8.5,6.5,2585,0.1,19.5,28.3,20.1
"1812","757","A",0,20,20,18.7,22.8,6,5,3438,1.87,25,27.1,11
"1811","757","A",20,45,25,21.6,24.2,6.2,5.2,3882,1.1,28.4,27.4,12.1
"1814","757","B",60,88,28,24.5,27,6.4,4.7,2403,0.46,38,16.2,16.1
"1817","757","C",168,200,32,17.7,19.2,6.6,5.2,3328,0.1,12.4,24.6,20.9
"1818","758","A",0,15,15,17.2,20.5,5.7,5.1,3438,1.85,22.9,23.9,16.2
"1819","758","A",15,28,13,17.6,21.7,5.8,4.8,4807,1.63,23.4,26.5,16.1
"1821","758","B",46,69,23,22.9,25.5,6.4,4.9,2709,0.56,35.8,22.3,14.4
"1822","758","B",69,110,41,21.9,24.3,6.5,4.9,2477,0.39,32.5,20.5,17.6
"1824","758","C",138,200,62,17.9,19,7.4,5.6,3329,0.16,9.2,25.6,18.2
"1825","759","A",0,13,13,17.8,21.1,5.9,4.9,5918,1.69,22.7,29.8,11.3
"1826","759","A",13,25,12,17.9,20.3,6.1,5,6115,1.48,22.8,22.8,11.7
"1828","759","B",34,75,41,28.1,32,6.3,4.9,2841,0.64,43.5,20.5,8.6
"1829","759","B",75,95,20,25.3,27.2,6.5,5.1,2722,0.35,30.2,21.2,12.6
"1831","759","C",160,200,40,24.6,25.3,7.3,5.9,2801,0.15,7,32.5,15.7
"1832","760","A",0,22,22,17.8,21.4,5.9,5.4,2941,2.05,22.6,26.7,13.6
"1833","760","A",22,34,12,18,21.9,5.7,4.9,5030,1.56,23.7,22.7,13.7
"1836","760","B",49,74,25,20.6,23.3,6.2,4.8,2748,0.64,32.7,24,12.4
"1835","760","B",74,120,46,25.3,27.8,6.5,5,2167,0.43,35.2,21.1,12.5
"1837","760","C",120,200,80,17.4,19.8,7,5.3,3213,0.19,12.8,24.6,17.1
"1839","761","A",0,15,15,18.4,20.7,5.8,5.3,1702,1.69,18.3,28.4,12
"1838","761","A",15,27,12,18,21.8,6,5.4,2795,1.43,25.3,26.9,13.5
"1840","761","B",37,63,26,30.3,35.4,6.9,5.2,2512,0.52,50,16.4,7.2
"1841","761","B",73,93,20,25.5,30.2,7.1,5.4,2147,0.3,32.6,21.4,13.6
"2211","761","BC",183,203,20,NA,32.1,8.6,7.3,1337,0.14,16.5,31,8
"1847","763","A",0,11,11,15.9,18.5,5.9,5.2,1864,1.6,12,29.2,16.1
"1846","763","A",11,18,7,19.1,19.1,8.3,6.5,2309,0.97,19.3,27,10.7
"1851","763","B",18,22,4,30.3,31.6,8.8,6.8,1073,0.72,40.1,19.8,8.9
"1850","763","B",22,42,20,NA,36.8,9.2,7.3,932,0.57,41,20.7,7.5
"1849","763","B",42,64,22,NA,37.2,9.4,7.4,851,0.39,NA,NA,NA
"1848","763","B",64,105,41,NA,30.3,9.3,7.5,992,0.19,26,28,8.2
"1853","763","C",154,174,20,NA,25.7,8.9,7.5,1783,0.13,18,29,8.8
"1854","764","A",0,15,15,18.9,21.7,6.2,5.3,4659,1.5,22.3,28.4,9.9
"1855","764","A",15,29,14,21.1,24.1,5.9,5.3,2705,2.38,23.3,31.3,11
"1857","764","B",35,56,21,28.3,30.8,7,5.6,1997,0.71,41.8,21.9,8.6
"1858","764","B",56,93,37,33.9,35.6,7.9,6,1748,0.48,44.9,17.1,9.6
"2252","764","BC",124,144,20,NA,26.4,9.1,7.3,1539,0.12,NA,NA,NA
"1862","765","A",0,10,10,26.9,28.8,5.6,5.2,1134,3.62,26.2,25.2,12.3
"1861","765","A",10,20,10,20,24.1,5.5,4.8,3322,2.1,25.9,23.3,13.1
"1864","765","B",30,64,34,29.1,32.2,6.1,4.7,2552,0.63,45,16.9,11.8
"1865","765","B",90,145,55,36.4,39.3,6.9,5,1661,0.2,34.5,23,5.7
"2322","765","BC",145,178,33,37.9,39.4,7,5.3,1742,0.16,37,24.7,7.4
"1869","766","A",0,30,30,18.7,22.8,6.2,6.6,5.8,2.04,26.3,26.7,13.4
"1871","766","B",40,70,30,23.7,28.5,5.8,6.3,5.1,0.62,39.4,21,10.2
"1872","766","B",70,105,35,24.9,28.8,5.7,6.3,5.1,0.38,32.4,20.1,14.1
"1875","766","C",170,260,90,NA,26.9,7.6,8,6.8,0.11,14.5,27.5,6.8
"1876","767","A",0,16,16,16.8,21.2,5.4,4.8,2226,1.97,26,24.3,12.8
"1877","767","A",16,28,12,16.5,20.7,5.8,4.9,5180,1.69,27.4,23.5,12.4
"1879","767","B",39,66,27,22.2,26.8,6.1,4.8,2699,0.6,35.8,21.4,10.1
"1878","767","B",66,96,30,25.1,28.1,6.3,4.8,2363,0.36,32.5,22.8,14.1
"1882","767","C",160,205,45,18,20,6.4,5.1,2863,0.09,14.5,24.8,21.6
"1883","767","C",205,215,10,NA,21.9,8.1,7.1,2347,0.06,11.7,30,12.7
"1885","768","A",0,13,13,16.9,21.8,6,5.2,5806,1.86,24.5,24.7,11.7
"1886","768","A",13,23,10,18,23,5.8,5,4015,1.49,27.8,21.7,10.5
"1889","768","B",30,62,32,24.8,30.9,6.2,4.9,2395,0.59,43,19,8.8
"1888","768","B",62,97,35,21.1,24.4,6.3,4.9,2711,0.27,25.5,27.5,9.2
"1892","768","C",180,260,80,18.9,20.7,6.6,5.2,3218,0.08,16.7,23.5,17.6
"1893","769","A",0,16,16,18.5,20.2,5.5,5.1,2897,1.91,18.8,33.5,9.8
"1894","769","A",19,29,10,19.1,20.8,5.7,5.2,3788,1.65,28.3,27.2,8.7
"1897","769","B",34,68,34,31,33.4,6.4,4.7,2269,0.67,52,16.7,6.7
"1896","769","B",68,93,25,29.3,31,6.6,4.9,2066,0.36,42,19.8,8.7
"1898","769","B",93,129,36,25.9,26.7,6.8,4.9,2208,0.28,31.5,22.3,11.4
"2371","769","BC",129,178,49,21.3,21.9,7.1,5.8,2350,0.18,23,24.5,14
"1901","770","A",0,15,15,28.1,32.5,5.3,4.8,972,2.7,38,16.2,12.4
"1903","770","B",25,51,26,32.6,34.2,6.5,5.2,1904,1,49.7,13,11.4
"1904","770","B",51,77,26,28.8,30.5,6.9,5.3,2107,0.51,33.5,21.5,16.4
"1905","770","B",77,99,22,27.4,29.4,6.9,5.2,2208,0.37,31.4,16.7,17.1
"245","770","BC",99,160,61,26.8,28.3,6.8,5.2,2147,0.32,32.4,17.7,18.3
"1908","771","A",0,15,15,16.5,20.4,5.3,4.6,2177,1.33,31.1,23.1,11.4
"1910","771","B",26,57,31,26.1,28.8,6.1,4.6,2351,0.58,43,18.4,10.5
"1911","771","B",57,83,26,23.5,26.4,6.2,4.7,2657,0.32,35.6,21.9,12
"1915","771","C",150,195,45,19.5,20.1,6.5,4.9,3570,0.08,13.3,25.6,17.7
"1916","773","A",0,20,20,18.5,21.2,6.8,5.6,2993,2.75,25.5,25.5,20.3
"1917","773","B",20,38,18,NA,28.6,8.4,6.9,1107,1.22,32.7,25.5,13.5
"1918","773","B",38,55,17,NA,23.7,8.9,7.5,779,0.3,28.4,28.4,14.4
"1920","773","C",110,130,20,NA,28,8.8,7.2,574,0.11,24.2,23.6,25.6
"1922","774","A",0,18,18,21.7,23.2,6.5,5.4,4592,2.21,26.4,31.1,4
"1921","774","A",18,29,11,22.3,23.3,6.7,5.5,4592,1.67,30.7,30.7,7.1
"1924","774","B",40,67,27,33.1,35.2,6.5,4.5,4945,0.28,53.5,21,5.9
"1925","774","B",67,97,30,29.8,30.3,6.7,4.8,4945,NA,40.2,25.6,7.1
"1926","774","B",97,140,43,35.1,34.2,6.9,4.9,4945,NA,39.9,27.8,5.4
"1928","774","C",210,255,45,NA,32,8,6.6,4239,NA,33.9,34.5,5.6
"1929","775","A",0,15,15,18.7,20.9,6.8,5.3,4236,1.84,25.3,34.3,7.2
"1931","775","B",24,54,30,33.9,33.1,8.1,5.9,3530,0.91,49.5,24,5.5
"1932","775","B",54,78,24,39.4,37,8.6,6.3,3177,0.37,51.3,23.6,4.9
"1933","775","B",78,114,36,NA,17.9,8.6,6.5,3530,0.19,31.7,31.2,7.3
"1936","775","C",250,305,55,NA,33.2,8.3,6.8,3177,0.08,34.6,32,5.1
"1937","776","A",0,12,12,19.1,20.7,7,5.7,3264,1.69,23.8,28.3,10.8
"1939","776","B",12,28,16,33.9,32.3,8,6.1,2901,1.09,43.7,20.9,7.5
"1940","776","B",28,47,19,34.2,33.3,8.8,6.7,2901,0.47,51.8,20.3,6.2
"1938","776","B",47,78,31,NA,19,8.8,7,2901,0.25,43.3,23.2,7.3
"251","776","BC",105,190,85,NA,16.1,8.4,7,3264,0.08,26.1,27.3,4.8
"1943","778","A",0,12,12,19.5,24.6,6.2,5.3,4838,2.32,26.8,40.7,4.6
"1944","778","A",12,34,22,18.4,21.9,6.4,4.9,4838,1.17,32.9,38.3,3.9
"1947","778","B",55,71,16,22.9,26.4,6.8,4.8,3387,0.67,42,34.8,3.7
"1946","778","B",71,114,43,30.4,30.6,6.9,4.8,1629,0.52,45.4,30.9,3.3
"1950","778","C",215,235,20,22.6,22.7,7.1,5.2,3709,0.13,20.3,28.9,9.1
"1952","779","A",3,18,15,14.2,15.6,7.1,5.3,1964,1.58,23.9,35.3,7.3
"1951","779","A",18,29,11,27.4,22.8,9.3,7.3,612,0.81,30.9,29.4,7.6
"1953","779","B",29,42,13,39.1,36.3,9.5,7.5,385,0.34,44.9,24.4,6.1
