"","id.p","id.p.h","hor","top","bottom","thick","tb","CEC","phw","phkcl","resist","OC","clay","silt20","sand.mf","p_permeabilidad","p_escurrimiento","p_anegamiento","p_drenaje","dren","dem","river","wdist","maxc","mrvbf","slope","twi","vdchn","water","env","lstm","lstsd","evim","evisd","M1.B2","M1.B3","M1.B4","M1.B5","M1.B7","M2.B2","M2.B3","M2.B4","M2.B5","M2.B7","M3.B2","M3.B3","M3.B4","M3.B5","M3.B7","M.all.B2","M.all.B3","M.all.B4","M.all.B5","M.all.B7","S1.B2","S1.B3","S1.B4","S1.B5","S1.B7","S2.B2","S2.B3","S2.B4","S2.B5","S2.B7","S3.B2","S3.B3","S3.B4","S3.B5","S3.B7","S.all.B2","S.all.B3","S.all.B4","S.all.B5","S.all.B7","X","Y","XX1","XX2","XX3","XD1","XD2","XD3"
"1341",653,"653_A1","A",14,24,10,22.1,25.9,5.4,4.7,2953,1.94,29.8,20.7,16.1,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1342",653,"653_Ap","A",0,14,14,21.4,27.3,5.3,4.7,2381,2.65,29.7,24.9,15.4,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1343",653,"653_A3","AB.BA",24,34,10,18.7,21,5.7,4.8,3590,1.01,30.3,20.2,16.1,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1344",653,"653_B1","AB.BA",34,50,16,19.1,21.3,6,4.8,3272,0.67,30.3,24.2,12.8,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1345",653,"653_B21","B",50,94,44,20.1,22.6,6.3,4.8,3181,0.44,31.9,16.8,20.7,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1346",653,"653_B22","B",94,120,26,24.1,26.8,6.5,4.9,2499,0.34,26.6,16.8,21.3,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1347",653,"653_B3","BC",120,160,40,17.9,19.5,6.5,4.8,3090,0.16,15.3,20.4,24.7,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1348",653,"653_C","C",160,180,20,15.9,16.9,7,5,4999,0.09,7.5,24.1,32.8,"3","3","clase 4",NA,"3.3",72.5,123310.0546875,42.4276008605957,-6.27124071121216,7.28070735931396,0.0681482329964638,12.0836229324341,0.461181640625,0.275862067937851,1,296.368053117922,7.83862148667159,3616.67361111111,1504.90950326093,0.415548412698413,0.0266555555555556,0.0679388888888889,0.384379365079365,0.116757142857143,0.216810071942446,0.0424014285714286,0.0763578571428571,0.270527338129496,0.16051884057971,0.236037190082645,0.0460082644628099,0.0794876033057851,0.296090909090909,0.203009917355372,0.278251330203443,0.04076203125,0.07726046875,0.315094679186229,0.167689481946625,0.0702921067934396,0.00980104937692331,0.0120083036085683,0.0334434886157777,0.0347991641935755,0.033769910487631,0.00905161844675595,0.0135430200124855,0.036681910808248,0.0282704755606791,0.033827026010355,0.00816752294943066,0.0109512067086078,0.0325647380868735,0.0453948150581075,0.0896024068366677,0.0124660972077125,0.014431094159944,0.0564305926765472,0.0507371571804763,5448948.77799692,6178450.27802126,6085.16071428571,2798.36666666667,2865.57333333333,1547.96544687043,881.649401105935,1162.87841690275
"1349",654,"654_A1","A",0,26,26,19.8,23.8,5.7,5,3726,2.48,21,19.2,29.7,"3","3","clase 4",NA,"3.3",69.1337890625,125840.625,30.0008449554443,0.0143148768693209,6.57701063156128,0.0672929361462593,12.2278251647949,2.01899719238281,0.0689655169844627,1,296.349413695573,7.6801810424519,3153.38194444444,1911.15145241745,0.408595238095238,0.028684126984127,0.0694079365079365,0.383486507936508,0.119070634920635,0.211865693430657,0.0494248175182482,0.0810394160583942,0.284451824817518,0.192394890510949,0.26031652892562,0.0522316666666667,0.0873475,0.327956198347107,0.231738016528926,0.28933328100471,0.0441086477987421,0.0805569182389937,0.331900784929356,0.181756200941915,0.0621912969565908,0.00839449736623617,0.0101959254856014,0.0339754084082581,0.030387979379907,0.0341755468951383,0.0106991188547434,0.0124809581885192,0.0320077865117357,0.0385459853734088,0.048008475548781,0.0112926464013135,0.0132393160509068,0.0342093527478524,0.0514835997449647,0.0891657300348388,0.0136612033247042,0.0140180142572384,0.0508414474853125,0.0570760166729876,5442873.97799578,6180481.27802371,5812.18571428571,2277.43333333333,2574.12,1464.91484572374,811.50567534087,1237.84720642298
"1350",654,"654_AB","AB.BA",26,34,8,16.8,20,5.9,4.9,6814,1.58,24.6,19,30.8,"3","3","clase 4",NA,"3.3",69.1337890625,125840.625,30.0008449554443,0.0143148768693209,6.57701063156128,0.0672929361462593,12.2278251647949,2.01899719238281,0.0689655169844627,1,296.349413695573,7.6801810424519,3153.38194444444,1911.15145241745,0.408595238095238,0.028684126984127,0.0694079365079365,0.383486507936508,0.119070634920635,0.211865693430657,0.0494248175182482,0.0810394160583942,0.284451824817518,0.192394890510949,0.26031652892562,0.0522316666666667,0.0873475,0.327956198347107,0.231738016528926,0.28933328100471,0.0441086477987421,0.0805569182389937,0.331900784929356,0.181756200941915,0.0621912969565908,0.00839449736623617,0.0101959254856014,0.0339754084082581,0.030387979379907,0.0341755468951383,0.0106991188547434,0.0124809581885192,0.0320077865117357,0.0385459853734088,0.048008475548781,0.0112926464013135,0.0132393160509068,0.0342093527478524,0.0514835997449647,0.0891657300348388,0.0136612033247042,0.0140180142572384,0.0508414474853125,0.0570760166729876,5442873.97799578,6180481.27802371,5812.18571428571,2277.43333333333,2574.12,1464.91484572374,811.50567534087,1237.84720642298
"1351",654,"654_B2","B",34,65,31,19.6,23.6,5.9,4.8,3226,0.58,27.8,16,24.1,"3","3","clase 4",NA,"3.3",69.1337890625,125840.625,30.0008449554443,0.0143148768693209,6.57701063156128,0.0672929361462593,12.2278251647949,2.01899719238281,0.0689655169844627,1,296.349413695573,7.6801810424519,3153.38194444444,1911.15145241745,0.408595238095238,0.028684126984127,0.0694079365079365,0.383486507936508,0.119070634920635,0.211865693430657,0.0494248175182482,0.0810394160583942,0.284451824817518,0.192394890510949,0.26031652892562,0.0522316666666667,0.0873475,0.327956198347107,0.231738016528926,0.28933328100471,0.0441086477987421,0.0805569182389937,0.331900784929356,0.181756200941915,0.0621912969565908,0.00839449736623617,0.0101959254856014,0.0339754084082581,0.030387979379907,0.0341755468951383,0.0106991188547434,0.0124809581885192,0.0320077865117357,0.0385459853734088,0.048008475548781,0.0112926464013135,0.0132393160509068,0.0342093527478524,0.0514835997449647,0.0891657300348388,0.0136612033247042,0.0140180142572384,0.0508414474853125,0.0570760166729876,5442873.97799578,6180481.27802371,5812.18571428571,2277.43333333333,2574.12,1464.91484572374,811.50567534087,1237.84720642298
"1352",654,"654_B3","BC",65,145,80,14.7,17,6.2,5,4354,0.11,15.2,16.5,36,"3","3","clase 4",NA,"3.3",69.1337890625,125840.625,30.0008449554443,0.0143148768693209,6.57701063156128,0.0672929361462593,12.2278251647949,2.01899719238281,0.0689655169844627,1,296.349413695573,7.6801810424519,3153.38194444444,1911.15145241745,0.408595238095238,0.028684126984127,0.0694079365079365,0.383486507936508,0.119070634920635,0.211865693430657,0.0494248175182482,0.0810394160583942,0.284451824817518,0.192394890510949,0.26031652892562,0.0522316666666667,0.0873475,0.327956198347107,0.231738016528926,0.28933328100471,0.0441086477987421,0.0805569182389937,0.331900784929356,0.181756200941915,0.0621912969565908,0.00839449736623617,0.0101959254856014,0.0339754084082581,0.030387979379907,0.0341755468951383,0.0106991188547434,0.0124809581885192,0.0320077865117357,0.0385459853734088,0.048008475548781,0.0112926464013135,0.0132393160509068,0.0342093527478524,0.0514835997449647,0.0891657300348388,0.0136612033247042,0.0140180142572384,0.0508414474853125,0.0570760166729876,5442873.97799578,6180481.27802371,5812.18571428571,2277.43333333333,2574.12,1464.91484572374,811.50567534087,1237.84720642298
